Iteration,M2,D2,V2,Loss
0,10.099993705749512,7.500125885009766,2.099997043609619,0.009418600238859653
0,10.45837688446045,7.147150039672852,2.2250611782073975,0.000649734865874052
0,10.743682861328125,6.839935779571533,2.159698724746704,0.00039176418795250356
0,11.028878211975098,6.428326606750488,1.7624181509017944,0.001433308469131589
0,11.287049293518066,6.112502098083496,1.766843318939209,0.002570786979049444
1,11.138298034667969,6.229669570922852,2.237799644470215,0.006927302572876215
1,11.00521183013916,6.349760055541992,2.5195014476776123,0.0025384449400007725
1,10.889554977416992,6.459647178649902,2.6319680213928223,0.008011171594262123
1,10.826168060302734,6.631189346313477,2.4966964721679688,0.01606285758316517
1,10.802384376525879,6.808028697967529,2.2136645317077637,0.01053506601601839
2,10.798184394836426,6.81840181350708,2.1618645191192627,0.0011989446356892586
2,10.789560317993164,6.8403401374816895,2.0724496841430664,0.0006624785019084811
2,10.838067054748535,6.85419225692749,1.8735181093215942,0.0022130899596959352
2,10.889290809631348,6.865434169769287,1.7245525121688843,0.0007084145327098668
2,10.956012725830078,6.883605003356934,1.6683942079544067,0.0035515143536031246
3,10.964859008789062,6.921633243560791,1.796241044998169,0.005862020421773195
3,10.98145866394043,6.963349342346191,1.977892518043518,0.00192037015222013
3,10.997828483581543,7.005318641662598,2.1530988216400146,9.373021384817548e-06
3,11.020591735839844,7.048321723937988,2.280090808868408,0.0011481770779937506
3,11.067266464233398,7.1124749183654785,2.3213984966278076,0.004287573508918285
4,11.069750785827637,7.21372652053833,2.2471354007720947,0.004333827644586563
4,11.127527236938477,7.325069904327393,2.071213483810425,0.005379125941544771
4,11.184900283813477,7.432064533233643,1.8937859535217285,0.0001372463011648506
4,11.250313758850098,7.5234150886535645,1.7422329187393188,0.0004151671309955418
4,11.327472686767578,7.616252422332764,1.6491148471832275,0.00290745054371655
5,11.148357391357422,7.9109787940979,1.8954071998596191,0.017841612920165062
5,10.98397445678711,8.162837982177734,2.130013942718506,0.00047971890307962894
5,10.828717231750488,8.389228820800781,2.3273377418518066,0.0006971766124479473
