Iteration,M2,D2,Loss,Time
0,9.603992462158203,7.996029853820801,3.506581560941413e-05,0.05900168418884277
0,9.610615730285645,7.989438056945801,7.169646820681663e-11,0.11299848556518555
0,9.619226455688477,7.980865001678467,4.949280985044879e-10,0.16099929809570312
0,9.629419326782227,7.970713138580322,9.184416782659355e-09,0.2109980583190918
0,9.640909194946289,7.959268569946289,2.013680600043699e-08,0.2610044479370117
0,9.655736923217773,7.947789192199707,0.00046670198207721114,0.31099867820739746
0,9.67269229888916,7.936070442199707,2.148124076484237e-05,0.3670022487640381
0,9.691205978393555,7.92422342300415,2.414732807665132e-05,0.4219982624053955
0,9.710867881774902,7.912248134613037,1.2056491414114134e-06,0.4719998836517334
0,9.731425285339355,7.9002461433410645,1.2049490578647237e-05,0.5229990482330322
0,9.752662658691406,7.888223171234131,1.5256891305881481e-09,0.5730123519897461
0,9.776135444641113,7.873001575469971,0.0011719863396137953,0.6240024566650391
0,9.800987243652344,7.855778694152832,2.2294570634073807e-09,0.6749978065490723
0,9.826762199401855,7.837149620056152,7.654429282411002e-06,0.724998950958252
0,9.853261947631836,7.8171186447143555,9.853255323832855e-05,0.7749979496002197
0,9.880674362182617,7.796002388000488,0.0006281225942075253,0.8239974975585938
0,9.908677101135254,7.774083614349365,1.4198918707464259e-09,0.8729994297027588
0,9.937056541442871,7.751618385314941,1.845070619310718e-05,0.9239988327026367
0,9.965906143188477,7.7292938232421875,0.0005385701660998166,0.9739987850189209
0,9.995450019836426,7.707086563110352,0.00096130435122177,1.0249981880187988
1,10.023518562316895,7.685988426208496,7.168967086634837e-10,5.977537155151367
1,10.050186157226562,7.6659440994262695,1.4311984841697267e-07,6.027513027191162
1,10.075821876525879,7.646302700042725,0.0004668077453970909,6.075499534606934
1,10.100484848022461,7.6270833015441895,1.4824776371824555e-05,6.131504535675049
1,10.124309539794922,7.608366966247559,0.00015305331908166409,6.184498310089111
1,10.1473388671875,7.590129852294922,7.880727252995712e-07,6.238503932952881
1,10.169615745544434,7.572356700897217,5.798806796519784e-06,6.291504144668579
1,10.191177368164062,7.555025100708008,1.0807383432620554e-07,6.346503734588623
1,10.21205997467041,7.538113117218018,3.8904230947878204e-09,6.417500972747803
1,10.232450485229492,7.521664619445801,0.0002530706115067005,6.478502035140991
1,10.252370834350586,7.5056562423706055,1.0329283384180599e-07,6.526498556137085
1,10.271842002868652,7.4900689125061035,7.491034921258688e-07,6.57450008392334
1,10.290884971618652,7.474881172180176,6.356545290131521e-10,6.6285014152526855
1,10.30951976776123,7.460080146789551,1.7805093648348702e-06,6.678500652313232
1,10.327763557434082,7.445646286010742,1.668196802917521e-09,6.728499412536621
1,10.345634460449219,7.431561470031738,7.382114830534192e-08,6.776542901992798
1,10.363149642944336,7.4178080558776855,1.0237315706262962e-07,6.824538469314575
1,10.380328178405762,7.40437650680542,6.827306151535595e-06,6.8735010623931885
1,10.397185325622559,7.3912506103515625,2.038921254055026e-10,6.929499864578247
1,10.413734436035156,7.378414630889893,3.0511402293598167e-09,6.987500905990601
2,10.429458618164062,7.366218566894531,3.7052463319753315e-09,7.042499780654907
2,10.444397926330566,7.354630947113037,2.874824645004992e-08,7.106502294540405
