Iteration,M2,D2,Loss
0,119.90000915527344,100.0999755859375,0.3296135663986206
0,119.82913208007812,100.17081451416016,5.833044633618556e-05
0,119.77252960205078,100.2180404663086,0.021160349249839783
0,119.72307586669922,100.26092529296875,5.845063424203545e-05
0,119.67820739746094,100.30126190185547,0.0020573334768414497
1,119.67820739746094,100.30126190185547,2.893896862588008e-06
1,119.67822265625,100.30116271972656,0.00014671585813630372
1,119.67821502685547,100.30083465576172,0.0008891348261386156
1,119.67820739746094,100.30050659179688,2.6144090270463494e-07
1,119.6781997680664,100.30017852783203,3.414257662370801e-06
2,119.67825317382812,100.29994201660156,0.0001770809612935409
2,119.67817687988281,100.29991149902344,0.0006983136991038918
2,119.6781005859375,100.29988098144531,5.472171693554628e-08
2,119.67802429199219,100.29985046386719,3.515931155106955e-07
2,119.6779556274414,100.2997817993164,2.6391538995085284e-05
3,119.67793273925781,100.2997817993164,0.00025297931279055774
3,119.6778335571289,100.29987335205078,0.00045846999273635447
3,119.677734375,100.29996490478516,2.0879859619071794e-07
3,119.67758178710938,100.30020904541016,8.16594620118849e-05
3,119.6632308959961,100.30582427978516,0.12419002503156662
4,119.6632308959961,100.30582427978516,2.4151686375262216e-05
4,119.6632308959961,100.30582427978516,6.888261395943118e-06
4,119.6632308959961,100.30582427978516,9.723520633997396e-06
4,119.66322326660156,100.30582427978516,8.40376378619112e-06
4,119.66317749023438,100.30582427978516,0.00042455599759705365
5,119.66317749023438,100.30582427978516,2.2101012575603818e-07
5,119.66317749023438,100.30582427978516,2.572664470790187e-06
5,119.66314697265625,100.30575561523438,0.00046755283256061375
5,119.66311645507812,100.30567932128906,9.827231224335264e-06
5,119.6514663696289,100.29618072509766,0.13315057754516602
6,119.6514663696289,100.29617309570312,4.651868948712945e-06
6,119.65074157714844,100.29423522949219,0.01172938197851181
6,119.65001678466797,100.29228210449219,2.6130052788175817e-07
6,119.64928436279297,100.29032135009766,7.056345907585637e-07
6,119.64854431152344,100.28832244873047,0.0001227663306053728
7,119.64824676513672,100.28825378417969,0.002913553034886718
7,119.64646911621094,100.29093933105469,0.006315308623015881
7,119.64295196533203,100.28740692138672,0.031244050711393356
7,119.63941955566406,100.28385162353516,2.7979314836557023e-05
7,119.63589477539062,100.28015899658203,0.00011884754349011928
8,119.63589477539062,100.2801513671875,4.566392362903571e-06
8,119.6358413696289,100.28011322021484,0.0005773339653387666
8,119.63557434082031,100.27981567382812,0.002469652099534869
8,119.63530731201172,100.2795181274414,3.599325509640039e-06
8,119.63504791259766,100.2791519165039,8.911573968362063e-05
9,119.63504028320312,100.27916717529297,3.052920874324627e-05
9,119.63494873046875,100.27938842773438,0.0001928182755364105
9,119.62903594970703,100.24671936035156,0.13363604247570038
9,119.62310028076172,100.21553039550781,1.871570702860481e-07
9,119.61714935302734,100.18561553955078,3.291081156930886e-06
10,119.61714935302734,100.18561553955078,4.182460997981252e-06
10,119.61727905273438,100.18460083007812,0.0017148427432402968
10,119.6171646118164,100.18387603759766,0.001234508352354169
10,119.61705017089844,100.18314361572266,4.4870067661406665e-09
10,119.61692810058594,100.18241882324219,6.2549515860155225e-06
11,119.61692810058594,100.18241882324219,2.2781816824135603e-06
11,119.61509704589844,100.18594360351562,0.005540385842323303
11,119.6132583618164,100.18948364257812,8.361704999515496e-07
11,119.61138153076172,100.19306945800781,0.00016431677795480937
11,119.6094970703125,100.19667053222656,3.00154248122908e-08
12,119.61058044433594,100.18978118896484,0.009549258276820183
12,119.6116714477539,100.18287658691406,7.005157840467291e-07
12,119.61251068115234,100.17658233642578,0.0003723229456227273
12,119.612548828125,100.17169952392578,0.00267582293599844
12,119.6125717163086,100.16678619384766,0.00010951442527584732
13,119.6125717163086,100.16675567626953,8.292650454677641e-05
13,119.6048355102539,100.0969467163086,0.31244203448295593
13,119.59707641601562,100.03951263427734,1.12895406800817e-06
13,119.58847045898438,99.98995971679688,0.0036543088499456644
13,119.57984924316406,99.94538116455078,5.751016033173073e-06
14,119.57984161376953,99.94538116455078,4.44197648903355e-05
14,119.5743179321289,99.9518051147461,0.007539847400039434
14,119.56877136230469,99.958251953125,5.05953448737273e-06
14,119.54853057861328,99.97511291503906,0.057312216609716415
14,119.52859497070312,99.9918212890625,6.3032198340806644e-06
15,119.52857971191406,99.99182891845703,3.9164937334135175e-05
15,119.528564453125,99.9917984008789,0.0002340907958569005
15,119.52719116210938,99.99324798583984,0.0024788936134427786
15,119.52578735351562,99.99472045898438,0.00010551740706432611
15,119.52437591552734,99.99620056152344,1.106397995442876e-08
16,119.52422332763672,99.99626922607422,0.0008218203438445926
16,119.5240707397461,99.996337890625,1.3211442819738295e-06
16,119.52389526367188,99.99642181396484,2.6621604774845764e-05
16,119.52365112304688,99.99649047851562,0.0006280964007601142
16,119.52340698242188,99.9965591430664,5.908393177378457e-06
17,119.52340698242188,99.9965591430664,1.2321061149123125e-05
17,119.52334594726562,99.99657440185547,0.00038813240826129913
17,119.5220718383789,99.99662780761719,0.008761302568018436
17,119.48624420166016,100.02506256103516,0.11956756561994553
17,119.4523696899414,100.05254364013672,2.6685714260565874e-07
18,119.45274353027344,100.04845428466797,0.019948342815041542
18,119.45272827148438,100.0441665649414,0.0042596496641635895
18,119.45271301269531,100.03986358642578,2.873024868677021e-06
18,119.44415283203125,100.02855682373047,0.10939925163984299
18,119.43558502197266,100.01726531982422,6.995103831286542e-06
19,119.43449401855469,100.01812744140625,0.004163364414125681
19,119.43340301513672,100.01896667480469,8.485549915349111e-05
19,119.38404083251953,100.03839111328125,0.34940069913864136
19,119.33927917480469,100.05770111083984,0.0031827930361032486
19,119.29843139648438,100.06843566894531,0.04637080058455467
20,119.29824829101562,100.06812286376953,0.003834022209048271
20,119.2977523803711,100.0652847290039,0.01772695779800415
20,119.29725646972656,100.06242370605469,2.2049951439839788e-05
20,119.29573822021484,100.05992889404297,0.00919601321220398
20,119.2942123413086,100.05742645263672,6.0470752032415476e-06
21,119.2931137084961,100.05797576904297,0.009015240706503391
21,119.29199981689453,100.05852508544922,0.00012015744141535833
21,119.29087829589844,100.05907440185547,8.975339937933313e-07
21,119.2811279296875,100.05032348632812,0.14498336613178253
21,119.27137756347656,100.04156494140625,1.4013494364917278e-06
22,119.27083587646484,100.0412826538086,0.00733807822689414
22,119.26947784423828,100.04131317138672,0.007049884647130966
22,119.26730346679688,100.0382080078125,0.025522658601403236
