Iteration,M2,D2,V2,B,G,Pmech2,Loss
0,6.499995708465576,4.500039100646973,1.4999984502792358,-0.7915348410606384,0.4983000159263611,-0.26053181290626526,0.015971265733242035
0,6.999990463256836,5.00000524520874,1.0000009536743164,-0.29220592975616455,-0.0014663636684417725,0.23889845609664917,10.228157043457031
0,7.354633808135986,5.362481117248535,0.6482061147689819,0.012286454439163208,-0.3450228273868561,0.5749480128288269,0.08377286791801453
0,7.681335926055908,5.690876007080078,0.31298279762268066,0.049772314727306366,-0.5844742059707642,0.7239250540733337,2.17439603805542
0,7.9865922927856445,5.993669033050537,-0.02516523003578186,-0.031347259879112244,-0.7785921096801758,0.7049049139022827,2.214273452758789
1,8.002197265625,6.006960868835449,-0.09209457784891129,-0.02604670822620392,-0.7798884510993958,0.6084267497062683,0.8020126819610596
1,8.025445938110352,6.027076244354248,-0.20312738418579102,-0.008151136338710785,-0.7844815850257874,0.452745258808136,0.3848876655101776
1,8.049384117126465,6.04791784286499,-0.3229524493217468,0.01654963381588459,-0.7909644246101379,0.2890152931213379,0.033716000616550446
1,8.075008392333984,6.069969177246094,-0.41945189237594604,0.02442103810608387,-0.7918564677238464,0.15720431506633759,0.09260667860507965
1,8.10920524597168,6.098948955535889,-0.46691685914993286,-0.016086673364043236,-0.7761865854263306,0.08730952441692352,0.4420633614063263
2,8.122079849243164,6.110228061676025,-0.4091188311576843,-0.08198031783103943,-0.7536880970001221,0.16149964928627014,0.6537701487541199
2,8.141568183898926,6.122975826263428,-0.3129565119743347,-0.1864270567893982,-0.7169284820556641,0.28545328974723816,0.3403282165527344
2,8.161742210388184,6.1371612548828125,-0.206734299659729,-0.29870834946632385,-0.6764925122261047,0.4215155243873596,0.044769152998924255
2,8.1830472946167,6.152322292327881,-0.11351367831230164,-0.3996875286102295,-0.6386772394180298,0.53521728515625,0.059542931616306305
2,8.21018123626709,6.1726274490356445,-0.04540695250034332,-0.48723161220550537,-0.6043019890785217,0.6032489538192749,0.29087162017822266
3,8.221772193908691,6.182652950286865,-0.0764542818069458,-0.4784213900566101,-0.60639488697052,0.5365014672279358,0.6415294408798218
3,8.240801811218262,6.202282905578613,-0.13290442526340485,-0.45922645926475525,-0.6112785339355469,0.4203615188598633,0.39184990525245667
3,8.262699127197266,6.224463939666748,-0.20471256971359253,-0.4300040602684021,-0.6190797686576843,0.27909570932388306,0.1434178352355957
3,8.284442901611328,6.249698638916016,-0.27033957839012146,-0.4030156433582306,-0.6254323720932007,0.15060828626155853,0.018837854266166687
3,8.306924819946289,6.275260925292969,-0.32699668407440186,-0.3843109905719757,-0.6287271976470947,0.038348354399204254,0.04155426099896431
4,8.310078620910645,6.272824287414551,-0.3091209828853607,-0.4062509536743164,-0.6212151646614075,0.06616827100515366,0.1484874188899994
4,8.315468788146973,6.272347927093506,-0.27550145983695984,-0.44600987434387207,-0.6073199510574341,0.11863487958908081,0.11769796162843704
4,8.327753067016602,6.247840881347656,-0.18911880254745483,-0.4557828903198242,-0.5776562094688416,0.23744544386863708,0.8643075823783875
4,8.340999603271484,6.217065811157227,-0.11307097226381302,-0.4485782980918884,-0.5511454939842224,0.3329608142375946,0.10452918708324432
4,8.356287002563477,6.189129829406738,-0.04887968301773071,-0.43335872888565063,-0.5267278552055359,0.4046840965747833,0.11242986470460892
5,8.361274719238281,6.194070339202881,-0.06621717661619186,-0.4273264706134796,-0.5282517671585083,0.3674689531326294,0.27964040637016296
5,8.36898422241211,6.198983669281006,-0.09543510526418686,-0.4175262153148651,-0.5310803055763245,0.30743643641471863,0.10767919570207596
5,8.378446578979492,6.205418109893799,-0.1348651945590973,-0.4020390510559082,-0.5355743765830994,0.22764629125595093,0.08732741326093674
5,8.388362884521484,6.212182521820068,-0.17922067642211914,-0.3826151192188263,-0.5412012338638306,0.139023095369339,0.024663466960191727
