Iteration,M2,M3,D2,D3,V2,V3,Loss,Time,Gradient Norm
0,17.090009689331055,11.390009880065918,9.509981155395508,9.509955406188965,2.3069467544555664,1.9578478336334229,0.004237930756062269,0.15677976608276367,0.02788548357784748
0,17.081016540527344,11.381136894226074,9.518839836120605,9.51870059967041,2.3158230781555176,1.9667317867279053,0.003523703897371888,0.28603291511535645,0.053694527596235275
0,17.071306228637695,11.385786056518555,9.511309623718262,9.518895149230957,2.3247997760772705,1.9758042097091675,0.00815140176564455,0.4178450107574463,0.12971559166908264
0,17.06428337097168,11.390841484069824,9.504658699035645,9.521245956420898,2.332160472869873,1.9832016229629517,0.002920689759775996,0.5500478744506836,0.15639269351959229
0,17.058218002319336,11.393991470336914,9.499897956848145,9.525403022766113,2.3385813236236572,1.989628791809082,0.0020243036560714245,0.6795089244842529,0.17647558450698853
0,17.052799224853516,11.395781517028809,9.496317863464355,9.530527114868164,2.3443825244903564,1.9954253435134888,0.0016579781658947468,0.8084468841552734,0.19434253871440887
0,17.04782485961914,11.396388053894043,9.4935941696167,9.535929679870605,2.3497347831726074,2.00076961517334,0.0014075969811528921,0.9375460147857666,0.21092723309993744
0,17.04319953918457,11.396077156066895,9.491499900817871,9.541265487670898,2.354735851287842,2.0057621002197266,0.0011956659145653248,1.0771758556365967,0.22627700865268707
0,17.038898468017578,11.395095825195312,9.48994255065918,9.546480178833008,2.3594343662261963,2.0104522705078125,0.000956178002525121,1.2066898345947266,0.23947715759277344
0,17.034847259521484,11.393529891967773,9.488801002502441,9.55145263671875,2.3638834953308105,2.0148940086364746,0.0008164254250004888,1.3384950160980225,0.25185996294021606
0,17.030885696411133,11.389698028564453,9.488581657409668,9.556539535522461,2.3680832386016846,2.0190844535827637,0.00048711479757912457,1.4694080352783203,0.26038244366645813
0,17.02711296081543,11.38586139678955,9.488567352294922,9.561219215393066,2.3721084594726562,2.0231027603149414,0.0005918703391216695,1.6022207736968994,0.27129966020584106
0,17.02351188659668,11.381919860839844,9.48884105682373,9.565625190734863,2.3759660720825195,2.026954412460327,0.00044810085091739893,1.731611967086792,0.2803916931152344
0,17.02007293701172,11.378067016601562,9.489301681518555,9.56977367401123,2.379672050476074,2.030656099319458,0.00036804514820687473,1.8635008335113525,0.28861573338508606
0,17.01678466796875,11.374261856079102,9.490082740783691,9.573793411254883,2.3832314014434814,2.0342118740081787,0.0002639968297444284,1.9943089485168457,0.29513660073280334
0,17.01363182067871,11.370622634887695,9.490971565246582,9.577596664428711,2.3866636753082275,2.0376415252685547,0.0002288352116011083,2.1263508796691895,0.30152878165245056
0,17.010576248168945,11.367300987243652,9.491778373718262,9.58115005493164,2.3899879455566406,2.0409634113311768,0.0002016508806264028,2.257722854614258,0.30808767676353455
0,17.00763702392578,11.364107131958008,9.492683410644531,9.584562301635742,2.3931987285614014,2.044172763824463,0.00012667964620050043,2.3898158073425293,0.3126918077468872
0,17.004796981811523,11.3610200881958,9.493637084960938,9.587827682495117,2.3963048458099365,2.0472776889801025,9.115269494941458e-05,2.519131898880005,0.31667035818099976
0,17.002511978149414,11.359128952026367,9.495885848999023,9.591422080993652,2.3992669582366943,2.0502398014068604,0.00013410365500021726,2.64741587638855,0.3147076964378357
1,17.00255012512207,11.360188484191895,9.495737075805664,9.59133529663086,2.399293899536133,2.050262212753296,7.285873289220035e-05,6.9345269203186035,0.0023647130001336336
1,17.002588272094727,11.361266136169434,9.495573997497559,9.591253280639648,2.3993468284606934,2.0503103733062744,4.2339361243648455e-05,7.067386865615845,0.005066064652055502
1,17.002641677856445,11.362797737121582,9.495317459106445,9.591181755065918,2.399428367614746,2.050384521484375,5.768436676589772e-05,7.198242902755737,0.00775509886443615
