Iteration,M2,D2,V2,Loss
0,10.899991035461426,9.099923133850098,1.8999991416931152,0.001864749938249588
0,10.97909164428711,9.193310737609863,1.98597252368927,0.0006500149029307067
0,11.041339874267578,9.261749267578125,2.0534861087799072,8.289393917948473e-06
0,11.094779014587402,9.318544387817383,2.1006290912628174,0.00012340304965618998
0,11.143998146057129,9.368499755859375,2.1226260662078857,0.0004630320181604475
1,11.14643383026123,9.369065284729004,2.095945119857788,0.0006272804457694292
1,11.149438858032227,9.370162963867188,2.053859233856201,0.00034642338869161904
1,11.153019905090332,9.371377944946289,2.0067803859710693,0.0001253630907740444
1,11.156630516052246,9.37259578704834,1.9630738496780396,2.1060361632407876e-06
1,11.159236907958984,9.37412166595459,1.9266341924667358,2.9809592888341285e-05
2,11.160463333129883,9.374277114868164,1.93801748752594,0.00023646866611670703
2,11.162491798400879,9.374589920043945,1.9586607217788696,0.00016766542103141546
2,11.164800643920898,9.374725341796875,1.9847406148910522,7.229102629935369e-05
2,11.167133331298828,9.37492847442627,2.0120646953582764,9.498729923507199e-06
2,11.17036247253418,9.375680923461914,2.035137414932251,2.5777988412301056e-05
3,11.170838356018066,9.375483512878418,2.0355424880981445,1.826150992201292e-06
3,11.176800727844238,9.377091407775879,2.0252432823181152,0.00018683720554690808
3,11.193609237670898,9.376440048217773,2.0186471939086914,0.00011295076546957716
3,11.210320472717285,9.375758171081543,2.0095083713531494,1.4425223525904585e-05
3,11.226886749267578,9.37513542175293,1.9990818500518799,3.741828550118953e-06
4,11.227585792541504,9.377867698669434,1.9966306686401367,1.3282387953950092e-05
4,11.288055419921875,9.366708755493164,1.955230712890625,0.000878342252690345
4,11.340156555175781,9.355647087097168,1.9214271306991577,8.460070966975763e-05
4,11.387078285217285,9.344879150390625,1.8975956439971924,0.00026119835092686117
4,11.43055534362793,9.334495544433594,1.8857139348983765,0.0004418347671162337
5,11.436220169067383,9.327866554260254,1.8963942527770996,0.000507962133269757
5,11.43956470489502,9.322291374206543,1.9203604459762573,0.0004637210804503411
5,11.465935707092285,9.321247100830078,1.942861557006836,0.00038029320421628654
5,11.491838455200195,9.320266723632812,1.9705830812454224,0.0001351176470052451
5,11.517121315002441,9.319313049316406,2.0001447200775146,3.5965771530754864e-05
6,11.517144203186035,9.319365501403809,1.999792456626892,4.907374773210904e-07
6,11.517248153686523,9.31918716430664,1.9990302324295044,7.733610800642055e-07
6,11.517352104187012,9.319007873535156,1.9983340501785278,1.960548701163134e-08
6,11.52055549621582,9.321151733398438,1.9997353553771973,5.429612428997643e-05
6,11.523777961730957,9.323304176330566,2.0012903213500977,8.933550788015054e-08
7,11.523778915405273,9.323304176330566,2.001143217086792,8.455532451989711e-08
7,11.523782730102539,9.323321342468262,2.0010480880737305,5.3953318257526917e-08
7,11.523786544799805,9.323336601257324,2.000854253768921,3.7471149738621534e-08
7,11.524218559265137,9.334419250488281,1.9978928565979004,2.8872662369394675e-05
7,11.524916648864746,9.344998359680176,1.9957762956619263,3.675490233945311e-06
8,11.525094985961914,9.345121383666992,1.9950330257415771,1.696027993602911e-06
8,11.525267601013184,9.34523868560791,1.9947322607040405,7.227393439279695e-07
