Iteration,M2,M3,D2,D3,V2,V3,Loss,Time,Gradient Norm
0,14.499987602233887,9.699997901916504,8.099907875061035,8.099967002868652,2.034271001815796,1.7402929067611694,0.09494385868310928,0.04569506645202637,0.15926390886306763
0,14.554369926452637,9.774499893188477,8.168227195739746,8.182796478271484,2.118083953857422,1.823069453239441,0.03625582903623581,0.09041404724121094,0.2337881177663803
0,14.573054313659668,9.837864875793457,8.217698097229004,8.250035285949707,2.1899569034576416,1.8941211700439453,0.018755169585347176,0.13205695152282715,0.28374773263931274
0,14.568292617797852,9.893258094787598,8.256430625915527,8.307726860046387,2.253110647201538,1.9566993713378906,0.009783907793462276,0.17394089698791504,0.3187902569770813
0,14.551005363464355,9.94263744354248,8.289266586303711,8.358644485473633,2.3094117641448975,2.012615442276001,0.004473415669053793,0.21602487564086914,0.3418612480163574
0,14.529706001281738,9.986337661743164,8.329068183898926,8.404170989990234,2.359496831893921,2.062405586242676,0.0007896795868873596,0.2574501037597656,0.34925171732902527
0,14.508064270019531,10.026610374450684,8.365917205810547,8.445801734924316,2.4049792289733887,2.1076855659484863,0.00024712728918530047,0.3002817630767822,0.3544400632381439
0,14.4866943359375,10.064128875732422,8.400653839111328,8.484411239624023,2.4463882446289062,2.1489362716674805,2.978516204166226e-05,0.3426177501678467,0.35268688201904297
0,14.463626861572266,10.099470138549805,8.43309211730957,8.520663261413574,2.484144449234009,2.186542272567749,0.000568453106097877,0.38411998748779297,0.34525811672210693
0,14.43496036529541,10.133091926574707,8.462484359741211,8.555109024047852,2.5185670852661133,2.2207891941070557,0.0016099622007459402,0.4264678955078125,0.3329760432243347
0,14.396771430969238,10.165390968322754,8.487506866455078,8.588178634643555,2.5499074459075928,2.2519001960754395,0.0029664509929716587,0.4687838554382324,0.31668540835380554
0,14.34728717803955,10.196686744689941,8.506758689880371,8.620293617248535,2.5783474445343018,2.28002667427063,0.0045393905602395535,0.5114707946777344,0.29685574769973755
0,14.288447380065918,10.227227210998535,8.517937660217285,8.651717185974121,2.6040329933166504,2.305288076400757,0.0061683813109993935,0.5540249347686768,0.2741714119911194
0,14.226142883300781,10.257234573364258,8.512182235717773,8.682608604431152,2.627276659011841,2.328014373779297,0.007006201893091202,0.5964899063110352,0.25201553106307983
0,14.160717010498047,10.286876678466797,8.49322509765625,8.713261604309082,2.6479403972625732,2.347994327545166,0.009400206618010998,0.6381950378417969,0.22498677670955658
0,14.09317684173584,10.317207336425781,8.450965881347656,8.74341106414795,2.666182518005371,2.365363836288452,0.010378258302807808,0.6802208423614502,0.19761550426483154
0,14.027665138244629,10.347248077392578,8.399620056152344,8.773579597473145,2.681920051574707,2.3800008296966553,0.012292648665606976,0.7222590446472168,0.1674959361553192
0,13.964353561401367,10.377082824707031,8.3432035446167,8.803852081298828,2.695168972015381,2.391892194747925,0.013489027507603168,0.7639219760894775,0.1363631784915924
0,13.903684616088867,10.406951904296875,8.28548812866211,8.834277153015137,2.7059781551361084,2.401093006134033,0.014228175394237041,0.8061890602111816,0.10542631149291992
0,13.844891548156738,10.436661720275879,8.227343559265137,8.864836692810059,2.714278221130371,2.4074671268463135,0.015348473563790321,0.8473260402679443,0.07282096147537231
1,13.833662033081055,10.43774127960205,8.219468116760254,8.868618965148926,2.7114386558532715,2.404132604598999,0.01790265552699566,4.144418001174927,0.03792339563369751
1,13.812922477722168,10.439887046813965,8.200336456298828,8.87386417388916,2.7060317993164062,2.397892475128174,0.01568666473031044,4.188992023468018,0.07075223326683044
1,13.78400993347168,10.443083763122559,8.171438217163086,8.880538940429688,2.6980886459350586,2.3887946605682373,0.015149357728660107,4.234580993652344,0.10306435823440552
1,13.748729705810547,10.447221755981445,8.135238647460938,8.888619422912598,2.687647581100464,2.3768937587738037,0.014544986188411713,4.279242038726807,0.13510513305664062
1,13.709285736083984,10.452347755432129,8.094539642333984,8.898137092590332,2.6748156547546387,2.3623414039611816,0.013579189777374268,4.3218889236450195,0.16614462435245514
1,13.66759967803955,10.458373069763184,8.051251411437988,8.90881633758545,2.659756898880005,2.3453609943389893,0.012319369241595268,4.364354133605957,0.19573679566383362
1,13.62324047088623,10.463164329528809,8.006765365600586,8.917938232421875,2.6420555114746094,2.3253684043884277,0.013918446376919746,4.406181812286377,0.23403050005435944
1,13.579606056213379,10.468679428100586,7.962642192840576,8.927948951721191,2.622563600540161,2.30353045463562,0.009627122431993484,4.448652982711792,0.26063936948776245
1,13.537144660949707,10.474735260009766,7.919672012329102,8.93874454498291,2.601504325866699,2.280120849609375,0.008296198211610317,4.490586996078491,0.28594255447387695
1,13.497102737426758,10.480900764465332,7.877499103546143,8.949919700622559,2.5794103145599365,2.2558093070983887,0.005827606655657291,4.532632827758789,0.30461084842681885
1,13.458531379699707,10.487492561340332,7.83716344833374,8.96157169342041,2.5562899112701416,2.2305641174316406,0.005377511028200388,4.5747551918029785,0.3252600133419037
1,13.421609878540039,10.494418144226074,7.798613548278809,8.973526000976562,2.5324437618255615,2.204728126525879,0.003989087883383036,4.617089033126831,0.34284332394599915
1,13.386069297790527,10.50098705291748,7.762012004852295,8.98546314239502,2.5079898834228516,2.178377866744995,0.0031130067072808743,4.659531116485596,0.36065906286239624
1,13.352082252502441,10.507729530334473,7.7271409034729,8.99755573272705,2.483278751373291,2.1519227027893066,0.0019369740039110184,4.702440023422241,0.3735904395580292
1,13.319544792175293,10.514528274536133,7.693877696990967,9.009696960449219,2.458531141281128,2.125576972961426,0.0011178915156051517,4.744473934173584,0.3837377429008484
