Iteration,M2,M3,D2,D3,V2,V3,Pmech2,Pmech3,Loss,Time,Gradient Norm
0,26.500017166137695,18.499988555908203,14.500204086303711,15.499866485595703,3.126758337020874,2.575549364089966,-4.485934257507324,0.7222298383712769,0.35122111439704895,0.11993908882141113,0.17465534806251526
0,26.266536712646484,18.886276245117188,14.23077392578125,15.836446762084961,2.70880389213562,2.170804977416992,-4.445343971252441,0.7636535167694092,0.08364857733249664,0.23115754127502441,0.25708016753196716
0,26.085254669189453,19.193105697631836,14.008947372436523,16.11382293701172,2.3515748977661133,1.8227918148040771,-4.412834644317627,0.7978282570838928,0.017607741057872772,0.34363436698913574,0.2890986204147339
0,25.911853790283203,19.461339950561523,13.809966087341309,16.36702537536621,2.0799529552459717,1.5530476570129395,-4.385496139526367,0.8251361846923828,0.004564950708299875,0.45529675483703613,0.274390310049057
0,25.81808853149414,19.727815628051758,13.708066940307617,16.6320743560791,1.92094087600708,1.3783540725708008,-4.36044979095459,0.8459789156913757,0.05326037481427193,0.5660552978515625,0.22924557328224182
0,25.906278610229492,20.00296974182129,13.798980712890625,16.91413688659668,1.9023480415344238,1.3134173154830933,-4.336209774017334,0.8609052300453186,0.10718746483325958,0.6770915985107422,0.17115336656570435
0,26.1539306640625,20.278493881225586,14.055423736572266,17.19969367980957,2.0270299911499023,1.3607730865478516,-4.312633514404297,0.8706284761428833,0.11852467060089111,0.7910656929016113,0.11309192329645157
0,26.43825340270996,20.542217254638672,14.352875709533691,17.47433853149414,2.244652271270752,1.4943605661392212,-4.290253639221191,0.8761943578720093,0.0797988623380661,0.9134564399719238,0.06481552124023438
0,26.6994571685791,20.78696632385254,14.627985000610352,17.728334426879883,2.4923720359802246,1.6744813919067383,-4.2694315910339355,0.8790184855461121,0.03221818059682846,1.029808521270752,0.032775040715932846
0,26.929508209228516,21.009733200073242,14.870027542114258,17.958282470703125,2.726195812225342,1.8570671081542969,-4.250180244445801,0.8810169696807861,0.0025723236612975597,1.1602375507354736,0.023095250129699707
0,27.141633987426758,21.212013244628906,15.090002059936523,18.169212341308594,2.9269070625305176,2.013317823410034,-4.232050895690918,0.8839451670646667,0.003354103770107031,1.2716004848480225,0.03372795879840851
0,27.349163055419922,21.398956298828125,15.299101829528809,18.36236572265625,3.085581064224243,2.1279196739196777,-4.2141547203063965,0.889626681804657,0.02394387684762478,1.3817791938781738,0.06553733348846436
0,27.549240112304688,21.573610305786133,15.501940727233887,18.5467472076416,3.1954257488250732,2.1838529109954834,-4.19597053527832,0.899268388748169,0.05194861441850662,1.4990530014038086,0.11277831345796585
0,27.73946762084961,21.74078369140625,15.693251609802246,18.72206687927246,3.256643295288086,2.179370403289795,-4.177124500274658,0.9131655097007751,0.06805583089590073,1.6113390922546387,0.16837367415428162
0,27.917598724365234,21.901777267456055,15.87230110168457,18.889816284179688,3.267810344696045,2.1117093563079834,-4.157711982727051,0.9307569265365601,0.07597196102142334,1.7235264778137207,0.22654861211776733
0,28.08708953857422,22.05685806274414,16.045053482055664,19.051551818847656,3.2309648990631104,1.9879754781723022,-4.1380934715271,0.9507991671562195,0.0688135027885437,1.8400797843933105,0.28032344579696655
0,28.252544403076172,22.20485496520996,16.212093353271484,19.205188751220703,3.1517109870910645,1.8221027851104736,-4.118678569793701,0.9719710946083069,0.052891187369823456,1.9533076286315918,0.3252359926700592
0,28.416763305664062,22.3454532623291,16.375476837158203,19.350435256958008,3.0407614707946777,1.6327852010726929,-4.099853038787842,0.9931509494781494,0.0311119444668293,2.0680289268493652,0.3573731780052185
0,28.578493118286133,22.479419708251953,16.53472328186035,19.488414764404297,2.9122354984283447,1.4373866319656372,-4.081874370574951,1.0135602951049805,0.011727610602974892,2.1781678199768066,0.3753395676612854
0,28.733186721801758,22.60931396484375,16.687284469604492,19.622194290161133,2.7856879234313965,1.2531121969223022,-4.064876079559326,1.0325595140457153,0.00017234851839020848,2.288328170776367,0.37584468722343445
1,28.732229232788086,22.611106872558594,16.687210083007812,19.623605728149414,2.796307325363159,1.2632627487182617,-4.064900875091553,1.0321980714797974,0.0026291992980986834,19.83801245689392,0.007113289088010788
1,28.729934692382812,22.614164352416992,16.686676025390625,19.62637710571289,2.814631938934326,1.2803092002868652,-4.064964294433594,1.0315567255020142,0.0014475022908300161,19.946618795394897,0.01256185956299305
1,28.726537704467773,22.618120193481445,16.685745239257812,19.630245208740234,2.838547468185425,1.3023276329040527,-4.065061569213867,1.0307062864303589,0.0007591751636937261,20.049793481826782,0.016575045883655548
1,28.72243309020996,22.622644424438477,16.68451690673828,19.6347599029541,2.8658154010772705,1.3273420333862305,-4.065180778503418,1.0297207832336426,0.00028620826196856797,20.15865182876587,0.019116148352622986
1,28.718124389648438,22.627347946166992,16.68321418762207,19.639631271362305,2.89418363571167,1.3533272743225098,-4.0653076171875,1.0286833047866821,3.815132367890328e-05,20.290817975997925,0.02002657949924469
1,28.714670181274414,22.631650924682617,16.682281494140625,19.64407730102539,2.9196841716766357,1.3767846822738647,-4.065405368804932,1.0277447700500488,0.00024793113698251545,20.395625591278076,0.01803080551326275
1,28.714204788208008,22.63490104675293,16.682418823242188,19.647315979003906,2.9390056133270264,1.3951170444488525,-4.065406322479248,1.0270614624023438,0.001166202244348824,20.497711896896362,0.01306304894387722
1,28.722780227661133,22.636497497558594,16.677366256713867,19.649524688720703,2.950472354888916,1.4076792001724243,-4.0651373863220215,1.026801586151123,0.002660915022715926,20.598909854888916,0.004941929131746292
