Iteration,M2,M3,D2,D3,Loss,Time,Gradient Norm
0,18.890323638916016,12.591084480285645,10.4939546585083,10.494698524475098,1.6755603837736999e-06,0.1217508316040039,1.1283513146054247e-07
0,18.882278442382812,12.582927703857422,10.492648124694824,10.49038028717041,7.285319156835612e-07,0.24057698249816895,1.115066652346286e-07
0,18.872282028198242,12.57294750213623,10.502561569213867,10.480513572692871,0.00016330651124008,0.3585689067840576,7.533358257205691e-06
0,18.86519432067871,12.565868377685547,10.509607315063477,10.473491668701172,1.5189656199510182e-09,0.4770197868347168,7.53356789573445e-06
0,18.85935401916504,12.559926986694336,10.515392303466797,10.467727661132812,2.19767025555484e-06,0.5956709384918213,7.546589131379733e-06
0,18.854291915893555,12.554800033569336,10.520415306091309,10.462719917297363,3.2599729582472037e-09,0.7154490947723389,7.546236247435445e-06
0,18.849756240844727,12.550220489501953,10.524920463562012,10.458227157592773,2.070981719448639e-10,0.8331499099731445,7.54620805309969e-06
0,18.845558166503906,12.545967102050781,10.52908706665039,10.454084396362305,2.5857634682324715e-06,0.9512879848480225,7.610927241330501e-06
0,18.841659545898438,12.542004585266113,10.532988548278809,10.450249671936035,6.570715527232096e-07,1.0697839260101318,7.59480371925747e-06
0,18.8358211517334,12.537046432495117,10.533451080322266,10.44450569152832,0.0001335723209194839,1.1880240440368652,1.3843746273778379e-05
0,18.830759048461914,12.532587051391602,10.533915519714355,10.439508438110352,5.090814436670144e-10,1.3048670291900635,1.3843681699654553e-05
0,18.82622528076172,12.528495788574219,10.534381866455078,10.43502140045166,3.898421496728588e-08,1.4204058647155762,1.384451661579078e-05
0,18.82207679748535,12.524688720703125,10.534860610961914,10.430912971496582,1.3822491951032134e-07,1.5397648811340332,1.3841201507602818e-05
0,18.815366744995117,12.519867897033691,10.526695251464844,10.423799514770508,0.0003326966834720224,1.656033992767334,3.396717511350289e-05
0,18.80977439880371,12.515504837036133,10.520349502563477,10.417981147766113,2.1486449952590192e-07,1.7735369205474854,3.400450441404246e-05
0,18.804454803466797,12.510290145874023,10.515875816345215,10.413084983825684,8.06029056548141e-05,1.8898138999938965,3.266158091719262e-05
0,18.79973793029785,12.505640983581543,10.511763572692871,10.408662796020508,5.40894632194977e-07,2.008478879928589,3.272804315201938e-05
0,18.79538917541504,12.501230239868164,10.508074760437012,10.404606819152832,1.4186920452630147e-05,2.129814863204956,3.268739237682894e-05
0,18.791383743286133,12.497178077697754,10.504598617553711,10.400832176208496,2.815019328750168e-10,2.2502639293670654,3.268745058448985e-05
0,18.787649154663086,12.493406295776367,10.501299858093262,10.397284507751465,3.009605720194486e-08,2.37197208404541,3.269256558269262e-05
1,18.787525177001953,12.493232727050781,10.501365661621094,10.397156715393066,2.265194598294329e-05,6.970852851867676,1.1713117373801651e-06
1,18.78740119934082,12.493058204650879,10.501431465148926,10.397027969360352,3.707125495466812e-09,7.093845844268799,1.1712104424077552e-06
1,18.787277221679688,12.492883682250977,10.501497268676758,10.396899223327637,1.2415557471001648e-09,7.214341878890991,1.1713486856024247e-06
1,18.787153244018555,12.492708206176758,10.501564025878906,10.396769523620605,7.270362090139315e-10,7.333700656890869,1.171355506812688e-06
1,18.78702735900879,12.492531776428223,10.501630783081055,10.396638870239258,3.1336817585270182e-09,7.455519914627075,1.1715877690221532e-06
1,18.78689956665039,12.492345809936523,10.501707077026367,10.39650821685791,3.939224200166791e-07,7.577638864517212,1.1688400718412595e-06
1,18.78676986694336,12.492156028747559,10.501784324645996,10.39637565612793,2.617448728869931e-07,7.696732759475708,1.182503865493345e-06
1,18.786638259887695,12.491960525512695,10.50185489654541,10.39623737335205,2.7868782126461156e-07,7.815990924835205,1.2210064141982002e-06
1,18.7865047454834,12.491765022277832,10.501925468444824,10.396099090576172,6.282558501213842e-11,7.937500715255737,1.2210042541482835e-06
1,18.786197662353516,12.491548538208008,10.5010986328125,10.395058631896973,3.178367478540167e-05,8.087711811065674,9.176426829071715e-06
1,18.785888671875,12.491331100463867,10.50027084350586,10.39401912689209,1.1601917648818016e-08,8.217605829238892,9.174816113954876e-06
1,18.78557777404785,12.49111270904541,10.499442100524902,10.392979621887207,1.7200574298215088e-09,8.340195894241333,9.175091690849513e-06
1,18.785266876220703,12.490893363952637,10.498611450195312,10.39194107055664,1.6528783897129529e-09,8.46948504447937,9.175261766358744e-06
1,18.784883499145508,12.489789009094238,10.497451782226562,10.390559196472168,2.3568145479657687e-05,8.589247941970825,1.2260299627087079e-05
1,18.784482955932617,12.48868465423584,10.496232986450195,10.389128684997559,2.587467861303594e-06,8.715954780578613,1.2758201592077967e-05
1,18.784040451049805,12.487334251403809,10.495013236999512,10.38768196105957,9.451547157368623e-06,8.852952003479004,1.297569087910233e-05
1,18.783557891845703,12.485904693603516,10.493865013122559,10.386214256286621,6.773595487175044e-06,8.986719846725464,1.3241570741229225e-05
1,18.782590866088867,12.4820556640625,10.490035057067871,10.383623123168945,0.00011744234507204965,9.111703872680664,2.4084967662929557e-05
1,18.78162384033203,12.478447914123535,10.486443519592285,10.381102561950684,2.0788244015079727e-08,9.232125759124756,2.4084951292024925e-05
1,18.780656814575195,12.475038528442383,10.483048439025879,10.378646850585938,3.399296122363893e-10,9.354716777801514,2.4084929464152083e-05
2,18.780654907226562,12.475032806396484,10.483049392700195,10.378646850585938,3.2410719086328754e-07,9.47446584701538,1.1292584645161696e-09
2,18.78065299987793,12.47502613067627,10.483049392700195,10.378645896911621,5.411989079107116e-08,9.593154907226562,6.829993459689376e-09
