Iteration,M2,D2,V2,Pmech2,Loss,Time,Gradient Norm
0,9.554061889648438,8.048728942871094,1.6499990224838257,0.3881489336490631,0.0019926712848246098,0.0670008659362793,0.02145610749721527
0,9.60348892211914,8.09017562866211,1.694240927696228,0.39260435104370117,0.0016956347972154617,0.12199997901916504,0.04191649332642555
0,9.65336799621582,8.052800178527832,1.7351305484771729,0.39665552973747253,0.002025726716965437,0.17599868774414062,0.06470286101102829
0,9.688345909118652,8.040155410766602,1.7703697681427002,0.4002443850040436,0.0010997751960530877,0.23399972915649414,0.0819096490740776
0,9.718892097473145,8.030917167663574,1.802249789237976,0.40352505445480347,0.0010102379601448774,0.288999080657959,0.09872175008058548
0,9.746015548706055,8.032942771911621,1.8314530849456787,0.4065580666065216,0.0008314718725159764,0.3470017910003662,0.11422863602638245
0,9.77139663696289,8.046905517578125,1.8585470914840698,0.4093923568725586,0.0007243434665724635,0.40199780464172363,0.12892328202724457
0,9.801054000854492,8.069350242614746,1.8841874599456787,0.4120856821537018,0.0008123345905914903,0.456998348236084,0.14468073844909668
0,9.826971054077148,8.100166320800781,1.9081707000732422,0.4146214425563812,0.0005024819984100759,0.5149991512298584,0.15725961327552795
0,9.8472318649292,8.126090049743652,1.9306402206420898,0.41700199246406555,0.0002957558026537299,0.5709998607635498,0.16704042255878448
0,9.868840217590332,8.151920318603516,1.95208740234375,0.4192867577075958,0.00045865384163334966,0.6269996166229248,0.17933319509029388
0,9.894790649414062,8.17060375213623,1.971738338470459,0.4213394224643707,3.651258157333359e-05,0.6830184459686279,0.17580798268318176
0,9.915692329406738,8.177544593811035,1.9903810024261475,0.42328181862831116,4.425270526553504e-05,0.7389998435974121,0.17963694036006927
0,9.936291694641113,8.190347671508789,2.0083882808685303,0.4251858592033386,0.00027983446489088237,0.7949981689453125,0.18948322534561157
0,9.95686149597168,8.207507133483887,2.0258028507232666,0.4270506799221039,0.00025980648933909833,0.8511800765991211,0.1990109384059906
0,9.976519584655762,8.241032600402832,2.042511224746704,0.4288733899593353,0.00021892211225349456,0.9081780910491943,0.20784401893615723
0,9.997603416442871,8.27281665802002,2.0587167739868164,0.43066564202308655,0.0002831652236636728,0.9691779613494873,0.2178190052509308
0,10.017748832702637,8.301628112792969,2.074388027191162,0.4324108362197876,0.00015710745356045663,1.0251832008361816,0.22520017623901367
0,10.039166450500488,8.336360931396484,2.0894620418548584,0.4341335594654083,0.00030582028557546437,1.0841827392578125,0.2356148213148117
0,10.05960750579834,8.365880012512207,2.1040661334991455,0.43581053614616394,0.00013372060493566096,1.1411826610565186,0.24223685264587402
1,10.06066608428955,8.364130973815918,2.104179859161377,0.43585002422332764,0.00011169871140737087,5.075326204299927,0.005677425302565098
1,10.062335968017578,8.363571166992188,2.1043665409088135,0.43593063950538635,0.00011063103011110798,5.129326343536377,0.011528300121426582
1,10.08747386932373,8.347853660583496,2.104221820831299,0.435905784368515,0.0006310237222351134,5.183324337005615,0.0035373903810977936
1,10.110665321350098,8.328434944152832,2.104154109954834,0.4359017312526703,6.276888598222286e-05,5.240326642990112,0.0005725144874304533
1,10.132166862487793,8.310929298400879,2.104163646697998,0.4359388053417206,0.00011004224506905302,5.295364618301392,0.005223635584115982
1,10.15221118927002,8.295111656188965,2.1042418479919434,0.4360145926475525,9.65120125329122e-05,5.353326797485352,0.01062769815325737
1,10.17102336883545,8.281045913696289,2.1043810844421387,0.4361286461353302,9.208618575939909e-05,5.409364223480225,0.01591578498482704
1,10.18897533416748,8.268373489379883,2.10459041595459,0.43628406524658203,0.00010579742956906557,5.479326009750366,0.02158745750784874
1,10.206246376037598,8.256935119628906,2.1048715114593506,0.4364818334579468,0.00010969749564537778,5.540330648422241,0.027355309575796127
1,10.222879409790039,8.246581077575684,2.1052215099334717,0.4367205798625946,0.00010226455924566835,5.595366477966309,0.03289578855037689
1,10.23895263671875,8.237239837646484,2.1056387424468994,0.437000036239624,0.00010042575740953907,5.651325464248657,0.03836894780397415
1,10.257367134094238,8.240541458129883,2.1052722930908203,0.4372198283672333,0.0002106405154336244,5.7073259353637695,0.030058158561587334
1,10.27716064453125,8.267091751098633,2.104346990585327,0.437542587518692,0.0005609622457996011,5.763324499130249,0.04400771111249924
1,10.295795440673828,8.289749145507812,2.103498935699463,0.4378945231437683,6.287476571742445e-05,5.820326328277588,0.04786565154790878
1,10.313525199890137,8.31091594696045,2.1027140617370605,0.43828678131103516,9.880999277811497e-05,5.877326250076294,0.0532449446618557
1,10.330449104309082,8.330900192260742,2.1019887924194336,0.438717246055603,9.00460800039582e-05,5.933324575424194,0.05835561826825142
1,10.346747398376465,8.351358413696289,2.1009440422058105,0.4391351640224457,3.542364720487967e-05,5.990329265594482,0.05656588822603226
1,10.363351821899414,8.369004249572754,2.099823236465454,0.4395252466201782,4.300538421375677e-05,6.047327995300293,0.052697669714689255
1,10.379319190979004,8.386201858520508,2.098757743835449,0.43995413184165955,9.156328451354057e-05,6.10332465171814,0.05786217749118805
1,10.396096229553223,8.402342796325684,2.097839117050171,0.44045156240463257,0.00028632269822992384,6.159324407577515,0.06710244715213776
2,10.396624565124512,8.403111457824707,2.0979132652282715,0.44050145149230957,0.00014961117994971573,6.217324495315552,0.006697353906929493
2,10.39877700805664,8.403189659118652,2.0977914333343506,0.4405100643634796,8.782949589658529e-05,6.272330045700073,0.001151135191321373
2,10.401037216186523,8.4032621383667,2.0977392196655273,0.4405510425567627,6.839101843070239e-05,6.3263256549835205,0.005444252863526344
