Iteration,M2,M3,D2,D3,V2,V3,Loss,Time,Gradient Norm
0,14.50000095,9.699999809,8.099999428,8.099999428,2.034271002,1.740293026,3.736984253,0.146986008,9.291649818
0,14.58508968,9.787127495,8.188939095,8.174339294,2.123425722,1.82988441,2.088996649,0.279923916,18.64539337
0,14.65005016,9.852701187,8.255594254,8.234975815,2.190502644,1.897138238,0.032669459,0.413413048,18.81791496
0,14.70467758,9.907570839,8.311246872,8.287064552,2.246491194,1.953222275,0.011499182,0.54551506,18.85908318
0,14.75278664,9.955783844,8.360091209,8.333515167,2.295591593,2.002387047,0.006134488,0.677108049,18.89023018
0,14.79630756,9.999363899,8.404172897,8.375853539,2.339882851,2.046727419,0.002570284,0.810791016,18.91194534
0,14.83638668,10.03948689,8.444691658,8.415047646,2.380562782,2.08744669,0.000707331,0.944030046,18.92002296
0,14.87376404,10.07690334,8.482406616,8.451715469,2.418412685,2.12533021,0.000398669,1.078786135,18.92471123
0,14.90892982,10.11210155,8.51785183,8.486298561,2.453959465,2.160903215,0.000234063,1.210301876,18.91887665
0,14.94224834,10.14544582,8.55141449,8.519145012,2.487587929,2.194550753,0.000978492,1.342735052,18.9076767
0,14.97403336,10.17734528,8.583377838,8.550489426,2.519580126,2.226555347,0.004305624,1.47420907,18.88771057
0,15.00444889,10.20786095,8.613976479,8.580587387,2.550166368,2.257147312,0.003622574,1.606479168,18.86812782
0,15.03365993,10.23715973,8.643390656,8.60961628,2.579523802,2.28650403,0.005057016,1.73844099,18.84597778
0,15.0618,10.26537895,8.671765327,8.637722015,2.607795238,2.314768553,0.006755456,1.870155096,18.82124329
0,15.08897877,10.2926302,8.699219704,8.665027618,2.63509798,2.342057943,0.008536967,2.001433134,18.79426193
0,15.11528587,10.31900692,8.725852966,8.691637039,2.661530018,2.36847043,0.01032038,2.134057999,18.76540756
0,15.14079762,10.34458828,8.751749039,8.717635155,2.68717432,2.394088745,0.012027563,2.264808893,18.73524666
0,15.1656189,10.36965847,8.776941299,8.742958069,2.712102413,2.418982744,0.019112073,2.396330118,18.70309258
0,15.18976498,10.39404202,8.801555634,8.767912865,2.736367226,2.443204403,0.019821642,2.528111935,18.66248131
0,15.21327972,10.41779232,8.82561779,8.79245472,2.760028362,2.466816664,0.017599521,2.660581112,18.62854958
1,15.21320057,10.41773605,8.825678825,8.792728424,2.759992838,2.466770411,0.01997783,5.999703169,0.036292326
1,15.21304131,10.41762352,8.825806618,8.793296814,2.759920359,2.466675758,0.020703565,6.134742022,0.073959813
1,15.21293259,10.41812038,8.826007843,8.794157028,2.759795666,2.466501951,0.05360996,6.267612934,0.135047108
1,15.21274281,10.41856289,8.826267242,8.79528141,2.75963521,2.466281652,0.019550074,6.399955034,0.170284197
1,15.21247101,10.41895103,8.826595306,8.796710968,2.759436607,2.466011047,0.020945603,6.533838034,0.208151028
1,15.21211624,10.41928291,8.826994896,8.798449516,2.759198904,2.465689659,0.020774385,6.665405989,0.246072203
1,15.2116785,10.41956043,8.827462196,8.80049324,2.758922577,2.465317488,0.020692142,6.797047138,0.283504963
1,15.21115685,10.41978168,8.827997208,8.802832603,2.758607864,2.464895248,0.019871222,6.935885191,0.320002168
1,15.2105484,10.41995811,8.828589439,8.805438995,2.75825572,2.464423656,0.02043042,7.074464083,0.355573863
1,15.20985508,10.42007732,8.829249382,8.808347702,2.757864237,2.463900805,0.020230744,7.20689106,0.392334282
1,15.20931625,10.42044544,8.829929352,8.811243057,2.757443428,2.463339806,0.029903749,7.338578939,0.418844938
1,15.20873737,10.42073536,8.830595016,8.81413269,2.757003546,2.462757826,0.009366111,7.470998049,0.432334244
1,15.20807266,10.42096806,8.83133316,8.817341805,2.756522417,2.462121964,0.020559153,7.601701975,0.469916463
1,15.20732021,10.42114353,8.832140923,8.820858955,2.756000757,2.461433172,0.020051571,7.734588861,0.506575584
1,15.20648003,10.42126083,8.833019257,8.824687004,2.755438089,2.460690737,0.020078748,7.865886927,0.543310523
1,15.2055521,10.42131805,8.833963394,8.828805923,2.754835367,2.459896088,0.019144695,7.997051001,0.578555226
1,15.20453453,10.42132568,8.834984779,8.833265305,2.754189014,2.459043741,0.021823151,8.129039049,0.617589891
1,15.20347595,10.42142296,8.83624649,8.838774681,2.753459692,2.458073854,0.051621296,8.261054039,0.699200273
