Iteration,M2,D2,Loss,Time,Gradient Norm
0,17.90554428100586,14.985517501831055,5.737477749789832e-06,0.08139395713806152,1.693500983890317e-08
0,17.805545806884766,14.885841369628906,0.024529289454221725,0.14553499221801758,3.081725662923418e-05
0,17.734647750854492,14.815402030944824,6.9332163548097014e-06,0.2042548656463623,3.056848072446883e-05
0,17.65936279296875,14.913122177124023,0.014410251751542091,0.2644169330596924,0.0002004534035222605
0,17.59898567199707,14.983158111572266,3.592716529965401e-05,0.32486772537231445,0.00020030185987707227
0,17.547080993652344,15.040811538696289,2.420127930236049e-05,0.3840618133544922,0.0002008060400839895
0,17.500829696655273,15.09094524383545,1.077663895898695e-07,0.44240903854370117,0.000200807218789123
0,17.45852279663086,15.136109352111816,0.00014891302271280438,0.501741886138916,0.00020174807286821306
0,17.41939353942871,15.177440643310547,9.378473464494164e-08,0.5613648891448975,0.0002017470105784014
0,17.382795333862305,15.215802192687988,3.2491570323145424e-08,0.6205418109893799,0.0002017465594690293
0,17.348270416259766,15.251795768737793,3.5689142805495067e-06,0.68206787109375,0.00020188120834063739
0,17.314443588256836,15.288535118103027,0.0011515322839841247,0.7417218685150146,0.000220450951019302
0,17.282249450683594,15.323192596435547,7.122822353267111e-06,0.8008618354797363,0.00022059101320337504
0,17.251447677612305,15.35610294342041,2.3099752070265822e-05,0.8607938289642334,0.00022071501007303596
0,17.221874237060547,15.387504577636719,6.154876928121666e-07,0.9192759990692139,0.00022071070270612836
0,17.193384170532227,15.417601585388184,1.7562327059295058e-07,0.9775128364562988,0.00022071639250498265
0,17.16554069519043,15.446606636047363,0.00041465411777608097,1.0370988845825195,0.00022114485909696668
0,17.133995056152344,15.490848541259766,0.00603760639205575,1.0963459014892578,0.0003742582630366087
0,17.103656768798828,15.531498908996582,0.0001866434031398967,1.1554360389709473,0.000374495517462492
0,17.074491500854492,15.569318771362305,6.928073759127074e-08,1.214792013168335,0.00037449432420544326
1,17.074491500854492,15.569321632385254,5.306701496010646e-07,3.353695869445801,2.6315142065413966e-08
1,17.060991287231445,15.621753692626953,0.017957281321287155,3.415009021759033,0.0006036148406565189
1,17.047386169433594,15.668455123901367,0.00021610752446576953,3.4748148918151855,0.0006049778312444687
1,17.033796310424805,15.711006164550781,6.258379289647564e-05,3.5345208644866943,0.0006060614250600338
1,17.018030166625977,15.752060890197754,0.0030031506903469563,3.5937318801879883,0.0006380752893164754
1,17.00238037109375,15.790203094482422,7.130831392032633e-08,3.6532490253448486,0.0006380784325301647
1,16.98566436767578,15.826436042785645,0.0018265176331624389,3.711522102355957,0.0006470676744356751
1,16.96909523010254,15.860652923583984,2.9546031399263484e-08,3.7723519802093506,0.0006470679072663188
1,16.952314376831055,15.893046379089355,0.0005251605180092156,3.8317439556121826,0.0006442532176151872
1,16.935684204101562,15.924003601074219,3.874076242027513e-07,3.890434741973877,0.0006442507146857679
1,16.919157028198242,15.953704833984375,6.234500324353576e-05,3.948791742324829,0.0006440884899348021
1,16.902769088745117,15.982307434082031,2.7500609576236457e-06,4.006861686706543,0.0006440695142373443
1,16.88651466369629,16.009937286376953,3.729815944097936e-06,4.065625905990601,0.0006441132281906903
1,16.870391845703125,16.036693572998047,8.415897667646277e-08,4.1240739822387695,0.0006441121804527938
1,16.854394912719727,16.06266212463379,1.3626947747980012e-06,4.1822898387908936,0.0006441299337893724
1,16.83852195739746,16.087915420532227,8.317068278529405e-08,4.24047589302063,0.0006441306904889643
1,16.82276725769043,16.112516403198242,2.273104882988264e-06,4.299072027206421,0.0006441089790314436
1,16.8062686920166,16.13721466064453,0.0012224249076098204,4.372986793518066,0.0006639977800659835
1,16.78990364074707,16.16131019592285,1.0458564247528557e-05,4.431863784790039,0.0006641245563514531
1,16.771318435668945,16.185937881469727,0.0034608212299644947,4.49062180519104,0.0006968269590288401
2,16.771257400512695,16.185989379882812,9.387113095726818e-05,4.54925012588501,1.4392948060049093e-06
2,16.771196365356445,16.1860408782959,4.4094836226804546e-08,4.607803821563721,1.442143798158213e-06
2,16.770896911621094,16.186452865600586,0.00032632198417559266,4.667048931121826,1.1479612112452742e-05
2,16.770578384399414,16.186857223510742,2.683781349333003e-05,4.724374055862427,1.1232884389755782e-05
2,16.7702579498291,16.18726348876953,1.8587794414770542e-08,4.78292989730835,1.1232423275941983e-05
2,16.757843017578125,16.198760986328125,0.016527874395251274,4.840857744216919,0.0003177907201461494
2,16.74546241760254,16.210241317749023,2.1469736211088275e-08,4.8991780281066895,0.00031779182609170675
2,16.73311424255371,16.221702575683594,2.2711816427545273e-08,4.956877708435059,0.00031779162236489356
2,16.72079849243164,16.23314666748047,1.3629400541503855e-07,5.015455961227417,0.0003177929320372641
2,16.708513259887695,16.24457359313965,4.003536560048815e-07,5.0740978717803955,0.00031780576682649553
2,16.69622802734375,16.256027221679688,4.1644172597443685e-05,5.131441831588745,0.000319064682116732
2,16.6839542388916,16.26746368408203,3.2195643143495545e-05,5.190078020095825,0.00031910144025459886
2,16.67171287536621,16.27888298034668,1.918801331157738e-07,5.248305797576904,0.0003191004798281938
2,16.659500122070312,16.290285110473633,2.3394518393615726e-06,5.306874752044678,0.0003191073192283511
2,16.647315979003906,16.30167007446289,1.1250673992435622e-07,5.365212917327881,0.00031910702819004655
2,16.6292724609375,16.31017303466797,0.00927888322621584,5.42311692237854,0.00023801745555829257
2,16.611419677734375,16.318708419799805,1.5084786355146207e-05,5.481181859970093,0.00023858895292505622
2,16.59257698059082,16.328750610351562,0.0016931541031226516,5.538806915283203,0.0002806758275255561
