Iteration,M2,D2,V2,Loss
0,9.100085258483887,8.499771118164062,2.099999189376831,0.009518871083855629
0,8.801825523376465,8.86418342590332,2.409923791885376,0.0007026299717836082
0,9.259195327758789,9.212218284606934,2.3944039344787598,0.010753328911960125
0,9.721796989440918,9.677775382995605,2.0861945152282715,0.012692280113697052
0,10.065460205078125,10.020058631896973,1.7950161695480347,0.000415754911955446
1,10.095946311950684,10.024815559387207,1.8841028213500977,0.0022163563407957554
1,10.487207412719727,10.026701927185059,1.9587202072143555,0.006088009104132652
1,10.796611785888672,10.028661727905273,2.0485172271728516,8.172693924279884e-05
1,11.078585624694824,10.033074378967285,2.0744519233703613,0.0007877646130509675
1,11.325602531433105,10.037745475769043,2.1012275218963623,3.363900532349362e-06
2,11.327347755432129,10.038656234741211,2.0673086643218994,0.0004233368090353906
2,11.329917907714844,10.040026664733887,2.0106959342956543,0.00018909921345766634
2,11.403051376342773,9.9489164352417,1.8584846258163452,0.0009413270745426416
2,11.47925090789795,9.860114097595215,1.7546223402023315,0.0008424341795034707
2,11.582808494567871,9.68957233428955,1.7125784158706665,0.0021315887570381165
3,11.589948654174805,9.714367866516113,1.8139420747756958,0.003768231952562928
3,11.614838600158691,9.74101734161377,1.94921875,0.0010419127065688372
3,11.628164291381836,9.805051803588867,2.097712278366089,6.832097278675064e-05
3,11.643218040466309,9.86950969696045,2.216120719909668,0.0003825430467259139
3,11.662553787231445,9.933324813842773,2.2818288803100586,0.001657382003031671
4,11.657693862915039,9.9364013671875,2.280625104904175,2.0438663341337815e-05
4,11.700288772583008,9.97805404663086,2.273742198944092,0.0005199464503675699
4,11.752605438232422,10.02617359161377,2.198035955429077,0.002783933887258172
4,11.810388565063477,10.082536697387695,2.074220895767212,0.0015019471757113934
4,11.869155883789062,10.139001846313477,1.935921549797058,0.00021777018264401704
5,11.874458312988281,10.158197402954102,1.9402761459350586,5.0532660679891706e-05
5,11.88027286529541,10.177739143371582,1.9598029851913452,0.00013915089948568493
5,11.885969161987305,10.19795036315918,1.9898792505264282,6.373622454702854e-05
5,11.89171028137207,10.218293190002441,2.022573709487915,3.91387857234804e-06
5,11.89768123626709,10.238581657409668,2.049499750137329,2.061194936686661e-05
