Iteration,M2,D2,V2,Loss,Time,Gradient Norm
0,14.350189208984375,12.048995018005371,2.3359580039978027,0.0004667835892178118,0.07081007957458496,0.0021817958913743496
0,14.3073148727417,12.09223747253418,2.2916147708892822,0.0003646093246061355,0.13656902313232422,0.00416739284992218
0,14.268806457519531,12.130858421325684,2.252180337905884,0.00029508775332942605,0.20224690437316895,0.005998000502586365
0,14.236759185791016,12.163952827453613,2.216801404953003,0.00021168477542232722,0.2692718505859375,0.007577016018331051
0,14.189297676086426,12.20752239227295,2.1848561763763428,0.00040099851321429014,0.33559489250183105,0.008848942816257477
0,14.152817726135254,12.242131233215332,2.155660390853882,0.0001415634178556502,0.40158987045288086,0.00991218350827694
0,14.123034477233887,12.27110481262207,2.1284875869750977,8.824626274872571e-05,0.46797895431518555,0.010934851132333279
0,14.089159965515137,12.296793937683105,2.1028592586517334,0.00027374617638997734,0.5340290069580078,0.011950868181884289
0,14.042094230651855,12.341395378112793,2.0893874168395996,0.0013961100485175848,0.6013197898864746,0.006490633357316256
0,14.007726669311523,12.374794006347656,2.075162887573242,3.161425775033422e-05,0.6668698787689209,0.007112929597496986
0,13.979199409484863,12.402527809143066,2.060983896255493,2.621512430778239e-05,0.7326099872589111,0.007356635760515928
0,13.954307556152344,12.426894187927246,2.0465145111083984,1.8486509361537173e-05,0.8003029823303223,0.007803583517670631
0,13.931819915771484,12.4488525390625,2.031938314437866,2.5022764020832255e-05,0.8670709133148193,0.008176915347576141
0,13.911224365234375,12.469042778015137,2.0174577236175537,5.873299869563198e-06,0.9345357418060303,0.008444471284747124
0,13.87141227722168,12.49719524383545,2.036874532699585,0.004411489702761173,1.0035340785980225,0.01222585141658783
0,13.840170860290527,12.521824836730957,2.0546507835388184,7.708845259912778e-06,1.0867340564727783,0.011915124021470547
0,13.81353759765625,12.54406452178955,2.0709822177886963,2.763922202575486e-05,1.1592581272125244,0.01152398157864809
0,13.789806365966797,12.564310073852539,2.0868866443634033,4.508259371505119e-05,1.225282907485962,0.01177816092967987
0,13.76827621459961,12.583171844482422,2.101400136947632,3.0351786335813813e-05,1.2922449111938477,0.011175237596035004
0,13.748367309570312,12.600996017456055,2.1145756244659424,5.7887835282599553e-05,1.3584089279174805,0.010464021936058998
1,13.748321533203125,12.601090431213379,2.1135878562927246,6.212514563230798e-05,3.516922950744629,0.0007807174697518349
1,13.746129989624023,12.604601860046387,2.1150765419006348,0.0005156405968591571,3.584188938140869,0.0011711616534739733
1,13.743921279907227,12.608160018920898,2.1155097484588623,5.42410634807311e-05,3.653404712677002,0.00033911800710484385
1,13.741698265075684,12.611759185791016,2.114938497543335,5.06262258568313e-05,3.719749927520752,0.00044501374941319227
1,13.739350318908691,12.615467071533203,2.1137499809265137,6.599965126952156e-05,3.7905499935150146,0.0009214286110363901
1,13.732220649719238,12.625832557678223,2.119666337966919,0.0010855677537620068,3.855327844619751,0.004596130456775427
1,13.724967002868652,12.636159896850586,2.1252129077911377,6.890964868944138e-05,3.92122483253479,0.004313896410167217
1,13.717745780944824,12.646358489990234,2.1296825408935547,5.881644392502494e-05,3.9876708984375,0.003472785232588649
1,13.71030330657959,12.656034469604492,2.134927272796631,5.530240377993323e-05,4.053088903427124,0.004077113699167967
1,13.702898979187012,12.665618896484375,2.13900089263916,6.815444794483483e-05,4.117727994918823,0.003161417320370674
1,13.69125747680664,12.67569637298584,2.150207757949829,0.001011000364087522,4.182529926300049,0.008879467844963074
1,13.67966365814209,12.685873985290527,2.159590005874634,0.00017261675384361297,4.247840881347656,0.007530413568019867
1,13.668302536010742,12.695958137512207,2.167511463165283,9.919410513248295e-05,4.313359022140503,0.0064069838263094425
1,13.655149459838867,12.708357810974121,2.1780898571014404,0.00047516851918771863,4.378419876098633,0.008710065856575966
1,13.642074584960938,12.721105575561523,2.1871836185455322,0.00020207747002132237,4.444394826889038,0.007576595991849899
1,13.629359245300293,12.73356819152832,2.1947548389434814,0.00012336768850218505,4.517338037490845,0.006349540315568447
1,13.616965293884277,12.745771408081055,2.2008960247039795,0.00012649020936805755,4.583273887634277,0.00516361091285944
1,13.604875564575195,12.757737159729004,2.205451726913452,0.00014273797569330782,4.648414850234985,0.003827176056802273
1,13.593053817749023,12.769489288330078,2.2085421085357666,0.00013980403309687972,4.715694904327393,0.0025881705805659294
1,13.581092834472656,12.78199291229248,2.2107186317443848,0.00021892369841225445,4.78097677230835,0.0018154326826334
2,13.581096649169922,12.782017707824707,2.2091586589813232,0.0001433253928553313,4.846683740615845,0.0012952727265655994
2,13.581085205078125,12.78211784362793,2.2059810161590576,0.00015207713295239955,4.912229061126709,0.0026304651983082294
2,13.581073760986328,12.782352447509766,2.200451135635376,0.00021012203069403768,4.97667384147644,0.00458280835300684
2,13.580632209777832,12.783621788024902,2.1918556690216064,0.00040950762922875583,5.046578884124756,0.007194794714450836
2,13.579334259033203,12.78568172454834,2.1782829761505127,0.0007618088857270777,5.11601996421814,0.01174512691795826
2,13.578012466430664,12.7877836227417,2.164077043533325,0.00010224188008578494,5.183430910110474,0.012757236137986183
2,13.576667785644531,12.789936065673828,2.1493752002716064,9.203671652358025e-05,5.2509379386901855,0.013743992894887924
2,13.575310707092285,12.792132377624512,2.134303569793701,7.877349707996473e-05,5.319087982177734,0.014702824875712395
2,13.573941230773926,12.794368743896484,2.1190218925476074,6.520761962747201e-05,5.38532280921936,0.015578588470816612
2,13.572563171386719,12.79663372039795,2.1036531925201416,5.257008524495177e-05,5.453380107879639,0.016381848603487015
