Epoc,Iter,M2,D2,V2,Pmech2,Loss
16,81,9.211925507,7.830098152,1.53096056,0.367922723,0.000156213
16,82,9.211927414,7.830098152,1.531865716,0.367545992,0.000161444
16,83,9.211951256,7.829944134,1.53292501,0.36706692,7.17E-05
16,84,9.211958885,7.829831123,1.534026504,0.366642475,5.44E-05
17,85,9.211964607,7.829905033,1.534016848,0.366868079,0.000187465
17,86,9.211865425,7.829898357,1.534188032,0.367220193,7.51E-05
17,87,9.211765289,7.829891682,1.534392476,0.367738396,0.000156508
17,88,9.211667061,7.829884052,1.534710765,0.368356377,0.000174292
17,89,9.211568832,7.829875946,1.535217524,0.368989348,0.000164222
18,90,9.211568832,7.829875946,1.535481334,0.368913382,0.000158178
18,91,9.211568832,7.829875946,1.535992026,0.368783057,0.000159069
18,92,9.211568832,7.829875469,1.536720634,0.368638724,0.000164421
18,93,9.211568832,7.829874992,1.537610531,0.368530989,0.000155576
18,94,9.211567879,7.829874516,1.538613319,0.368506581,0.00014889
19,95,9.21157074,7.829874039,1.538681984,0.368651122,0.000168292
19,96,9.211595535,7.829879284,1.538843513,0.368974537,0.000241623
19,97,9.211621284,7.829879761,1.539134264,0.369373083,0.000156362
19,98,9.211647034,7.829883099,1.539638877,0.369788945,0.000177837
19,99,9.211672783,7.829887867,1.540378809,0.370181024,0.000161848
20,100,9.211672783,7.829887867,1.54064846,0.37010777,0.000155131
20,101,9.211671829,7.829888344,1.541170597,0.369997442,0.000165571
20,102,9.211670876,7.829888821,1.541906953,0.369873106,0.000151998
20,103,9.211670876,7.829892635,1.542815566,0.369799852,0.000166515
20,104,9.211671829,7.829898357,1.543846488,0.369822562,0.00015879
21,105,9.211671829,7.829898357,1.543928385,0.369951457,0.000152977
21,106,9.211716652,7.829901695,1.544020057,0.370354801,0.000266118
21,107,9.211790085,7.829891682,1.544287443,0.370607287,6.41E-05
21,108,9.212023735,7.8297019,1.544674516,0.370444715,2.00E-05
21,109,9.212309837,7.829474926,1.545232296,0.370067567,4.77E-05
22,110,9.212424278,7.829362392,1.54504931,0.370513141,0.000332849
22,111,9.212539673,7.829249382,1.545017242,0.371021569,0.000151483
22,112,9.212656975,7.829134464,1.545206428,0.371556699,0.000177641
22,113,9.212772369,7.829031944,1.545698166,0.3720285,0.000169422
22,114,9.213055611,7.828926086,1.546289921,0.372864038,0.000547396
23,115,9.213233948,7.828194618,1.546299696,0.373220205,0.000449214
23,116,9.213415146,7.827455044,1.546879172,0.373197615,0.000154227
23,117,9.213597298,7.826714039,1.548005104,0.372826815,0.000154374
23,118,9.213785172,7.826007843,1.549557328,0.372207135,0.000139539
23,119,9.213973045,7.825295925,1.551380873,0.371547043,0.000156415
24,120,9.213973045,7.825296402,1.551457644,0.37169233,0.000145952
24,121,9.213971138,7.825295925,1.55164659,0.371938348,0.000138165
24,122,9.214727402,7.824614048,1.551507235,0.3710666,4.94E-05
24,123,9.215486526,7.823941708,1.551359177,0.370430291,0.000147464
24,124,9.216230392,7.823251724,1.5512079,0.36998257,9.52E-05
25,125,9.216248512,7.82322216,1.550952792,0.370484352,0.000172306
25,126,9.216267586,7.82319355,1.550597072,0.371330142,0.000151691
25,127,9.216285706,7.82316494,1.550314784,0.372335047,0.000145901
25,128,9.216304779,7.82313633,1.55029726,0.373301864,0.000148255
25,129,9.216552734,7.822901249,1.550606728,0.373526603,4.49E-05
26,130,9.216551781,7.822908878,1.551078439,0.373273611,0.000152045
26,131,9.216545105,7.822905064,1.551938891,0.372935742,0.000191089
26,132,9.217904091,7.821196556,1.551934958,0.370956272,0.000115704
26,133,9.219277382,7.819474697,1.552050948,0.368925601,6.11E-05
26,134,9.220640182,7.81751585,1.551790953,0.367546767,0.000132953
27,135,9.220867157,7.817146301,1.550577283,0.368836433,0.000294409
27,136,9.221029282,7.816688538,1.549254894,0.370473236,5.53E-05
27,137,9.22119236,7.81622982,1.547902346,0.372392029,0.000148725
27,138,9.221365929,7.815736294,1.54682827,0.374368787,0.000218043
27,139,9.221540451,7.815239429,1.546586871,0.375728309,0.000162484
28,140,9.221567154,7.815385818,1.547642112,0.374779642,0.000157396
28,141,9.221595764,7.815538406,1.549589634,0.373148352,0.000163157
28,142,9.221625328,7.815694332,1.552024961,0.371255666,0.000148953
28,143,9.221735001,7.816012383,1.554217696,0.369890749,0.000262037
28,144,9.221858978,7.815795898,1.556021929,0.369198799,0.000142134
29,145,9.221862793,7.815798283,1.555420518,0.370094061,0.000164091
29,146,9.221869469,7.815806389,1.554414272,0.371677846,0.000156948
29,147,9.221877098,7.815814495,1.553366542,0.373568416,0.00014747
29,148,9.221884727,7.815823078,1.552707553,0.375313759,0.000146888
29,149,9.222008705,7.816446304,1.55266583,0.37624377,8.33E-05
30,150,9.223081589,7.819025517,1.552189589,0.374363661,9.47E-05
30,151,9.224143982,7.821704388,1.552283168,0.372213542,0.000178142
30,152,9.225374222,7.824044228,1.552649021,0.36952588,3.95E-05
30,153,9.226560593,7.825770378,1.5528965,0.367183417,4.13E-05
30,154,9.227765083,7.827515602,1.552240968,0.366053253,0.000183218
31,155,9.227572441,7.827896595,1.552251697,0.366407245,4.05E-06
31,156,9.22918129,7.825629234,1.547781944,0.369430006,0.000863115
31,157,9.230848312,7.823402882,1.543005586,0.373046339,0.000213207
31,158,9.232440948,7.821077824,1.539313674,0.376222253,0.000293585
31,159,9.234051704,7.818744659,1.537310362,0.377897978,0.000206707
32,160,9.234139442,7.818818092,1.539317489,0.375883967,0.000224989
32,161,9.234236717,7.818907261,1.54298389,0.372406483,0.000201495
32,162,9.234306335,7.81897831,1.547469497,0.368496835,0.000201765
32,163,9.234325409,7.819042206,1.551969886,0.364692509,6.01E-06
32,164,9.234373093,7.819097996,1.555039287,0.362681895,0.000219132
33,165,9.234412193,7.819112301,1.552986979,0.365133852,0.000271612
33,166,9.234434128,7.819198608,1.54959929,0.369333714,0.000198906
33,167,9.234438896,7.819273949,1.545946598,0.374109715,0.00013487
33,168,9.234449387,7.819351673,1.543223143,0.378188759,0.000158734
33,169,9.234475136,7.819440365,1.542508245,0.380450934,0.000220646
34,170,9.232709885,7.819470406,1.550086379,0.378641933,0.001362853
34,171,9.230944633,7.819504738,1.559473276,0.37525323,0.0001976
34,172,9.229197502,7.819522858,1.569458008,0.371434212,0.000113012
34,173,9.228944778,7.819638252,1.57466054,0.370753706,0.000678038
34,174,9.230567932,7.816329002,1.573930264,0.373934388,0.000720565
35,175,9.230594635,7.816372395,1.573990703,0.373894721,4.02E-05
35,176,9.230628967,7.816096306,1.573467493,0.374767154,0.000140499
35,177,9.230667114,7.815823078,1.572547436,0.376351327,0.000142961
35,178,9.230706215,7.815549374,1.571649671,0.378206879,0.00013534
35,179,9.230745316,7.815276146,1.57126081,0.379821301,0.000135506
36,180,9.230729103,7.8152771,1.572114229,0.379287779,0.000157491
36,181,9.230711937,7.815246105,1.573712945,0.378277719,0.000141749
36,182,9.230694771,7.815215588,1.575734496,0.377122015,0.000134274
36,183,9.231455803,7.812942982,1.57815218,0.374209672,6.68E-05
36,184,9.232227325,7.810655594,1.579776525,0.372434407,0.000152883
37,185,9.232245445,7.810673237,1.578425169,0.374159813,0.000181327
37,186,9.232239723,7.810496807,1.576436877,0.376895607,0.000127738
37,187,9.232234955,7.810321808,1.574363708,0.380027771,0.000134948
37,188,9.232355118,7.80897665,1.573307395,0.382193804,0.0001242
37,189,9.232521057,7.807729244,1.573690057,0.383026719,0.000147225
38,190,9.232505798,7.807627201,1.575295091,0.381717503,0.00017193
38,191,9.236365318,7.81223917,1.574002266,0.375425398,0.000441474
38,192,9.240468025,7.816997528,1.571469545,0.370491236,0.000258223
38,193,9.24475956,7.821501732,1.567076325,0.367612869,0.000238334
38,194,9.248788834,7.824595451,1.562309265,0.365867823,4.11E-05
39,195,9.24881649,7.824602127,1.560315013,0.368310183,0.000232448
39,196,9.248648643,7.824832439,1.557734489,0.371923506,8.60E-05
39,197,9.248478889,7.825059891,1.554964304,0.376072794,0.000144473
39,198,9.248576164,7.825447083,1.552644968,0.380715042,0.000663758
39,199,9.248500824,7.825940132,1.553034186,0.383355796,0.000264286
40,200,9.248538971,7.825960159,1.556112885,0.380436271,0.000271158
40,201,9.248290062,7.826133251,1.561736226,0.376080245,0.000310069
40,202,9.248040199,7.826307297,1.568031788,0.37135905,0.000142935
40,203,9.247803688,7.826434612,1.57334435,0.368018925,0.000166316
40,204,9.247584343,7.82672739,1.576494455,0.367329568,0.000232687
41,205,9.247598648,7.826678276,1.573973536,0.370385826,0.000257188
41,206,9.24763298,7.826639175,1.569787145,0.375544876,0.000193512
41,207,9.247673988,7.826618671,1.565517545,0.381143689,0.000147134
41,208,9.248374939,7.828926563,1.562270164,0.384223968,0.00011573
41,209,9.249120712,7.831236839,1.561843872,0.384638339,0.000234678
42,210,9.248911858,7.831157207,1.565154076,0.382117122,0.000281472
42,211,9.248714447,7.831105709,1.570586681,0.377706081,0.000185108
42,212,9.249975204,7.828216553,1.576009512,0.370632529,9.30E-05
42,213,9.251261711,7.825332642,1.579690099,0.365748197,0.000195357
42,214,9.252501488,7.822516441,1.580352426,0.36459735,0.000296096
43,215,9.252588272,7.822590828,1.576562047,0.368951499,0.000370694
43,216,9.252705574,7.822694302,1.570451975,0.376122296,0.000229075
43,217,9.252822876,7.822796822,1.564448357,0.38353312,0.000132123
43,218,9.252775192,7.823335171,1.561178207,0.3888717,0.000238313
43,219,9.251564026,7.824148655,1.564176202,0.39305529,0.00120304
44,220,9.25187397,7.813119888,1.570276618,0.387685776,0.000530195
44,221,9.252109528,7.802226067,1.579968572,0.379153371,0.000270939
44,222,9.253556252,7.786170483,1.586494446,0.373045534,0.000448704
44,223,9.255025864,7.770030022,1.591189981,0.369248688,0.000187913
44,224,9.258378029,7.763481617,1.586625338,0.371860862,0.000814988
45,225,9.259283066,7.761803627,1.58189559,0.375966579,0.000423644
45,226,9.260162354,7.760148048,1.576641321,0.381005526,0.000120287
45,227,9.261053085,7.758476257,1.572495937,0.385222197,0.000137147
45,228,9.26632309,7.755936623,1.56588769,0.38348031,0.00041768
45,229,9.272187233,7.751561642,1.561392903,0.378722787,0.000170576
46,230,9.272193909,7.751587868,1.562951326,0.377454221,0.000157683
46,231,9.27219677,7.751603127,1.565586567,0.375461608,0.000150272
46,232,9.272200584,7.751618385,1.568499207,0.37357533,0.000141857
46,233,9.272204399,7.751642227,1.570931435,0.372593224,0.000143713
46,234,9.272097588,7.751801014,1.572983027,0.372467548,8.53E-05
47,235,9.271962166,7.752144814,1.572442055,0.373530805,9.20E-05
47,236,9.271814346,7.752597332,1.571135283,0.375810027,0.000143775
47,237,9.271836281,7.753202915,1.569045067,0.3792319,0.000239619
47,238,9.271862984,7.753840923,1.568152785,0.381774276,0.000142081
47,239,9.271679878,7.755188942,1.56916666,0.383523345,0.000295513
48,240,9.271715164,7.755363941,1.571712494,0.381165326,0.000185697
48,241,9.272356987,7.753015518,1.57568264,0.376479656,0.00010529
48,242,9.273023605,7.750748158,1.579930663,0.371677905,7.83E-05
48,243,9.273696899,7.748555183,1.582244158,0.369349033,0.000185982
48,244,9.274399757,7.747938156,1.581461191,0.370630682,0.000260635
49,245,9.274523735,7.747837543,1.578690052,0.373843849,0.000238553
49,246,9.27466011,7.747714996,1.574657083,0.378801078,0.000157719
49,247,9.275108337,7.749099731,1.571483731,0.382219642,6.40E-05
49,248,9.275556564,7.750500202,1.570351362,0.38392508,0.000165221
49,249,9.277467728,7.753599167,1.567599535,0.387347847,0.001040491
50,250,9.277518272,7.753640175,1.571690917,0.383443415,0.00027366
50,251,9.277551651,7.753697395,1.578294516,0.377389997,0.000182327
50,252,9.277586937,7.753754139,1.58485508,0.371803731,0.000132906
50,253,9.277723312,7.753583908,1.58877337,0.369354874,0.000222118
50,254,9.277926445,7.753638268,1.589048386,0.371176809,0.000283667
51,255,9.277953148,7.753634453,1.586065769,0.374786258,0.000232621
51,256,9.287893295,7.753374577,1.558668017,0.388141006,0.001841661
51,257,9.297939301,7.752906322,1.536458254,0.39648214,0.000362925
51,258,9.311338425,7.752820015,1.51736939,0.395349354,0.000776374
51,259,9.325405121,7.752962112,1.508939981,0.382920474,0.001208367
52,260,9.322166443,7.751833439,1.527108431,0.372591883,0.00136753
52,261,9.318924904,7.750718594,1.547906756,0.359994143,0.000204145
52,262,9.315730095,7.749647141,1.565224648,0.351605475,0.000296747
52,263,9.318097115,7.755663872,1.563819647,0.35372752,0.001443857
52,264,9.320955276,7.761850357,1.554747939,0.364008516,0.000680794
53,265,9.321008682,7.761867046,1.551939487,0.367447615,0.000239898
53,266,9.322116852,7.765760422,1.546767592,0.373056501,0.000699164
53,267,9.323231697,7.769673824,1.542663693,0.378013432,0.000154293
53,268,9.324385643,7.773629189,1.541746616,0.380054682,0.00021699
53,269,9.325631142,7.77823019,1.544702649,0.378305763,0.000251122
54,270,9.325598717,7.777823925,1.548115969,0.375381082,0.00023149
54,271,9.325798988,7.776232719,1.552749038,0.371079803,9.85E-05
54,272,9.32598114,7.774517536,1.557270169,0.367359459,0.000124497
54,273,9.326179504,7.772836685,1.559928536,0.366118014,0.0001879
