Iteration,M2,D2,V2,Loss,Time,Gradient Norm
0,9.550085067749023,7.9510650634765625,1.6499985456466675,0.0006122466293163598,0.0540006160736084,0.0035026741679757833
0,9.506360054016113,7.90785026550293,1.6937675476074219,0.0004332390963099897,0.10500073432922363,0.006311063654720783
0,9.467440605163574,7.869431495666504,1.7319256067276,0.0002831571619026363,0.15600037574768066,0.008471706882119179
0,9.507845878601074,7.829012870788574,1.7719905376434326,0.0013720642309635878,0.20600056648254395,0.014793628826737404
0,9.543067932128906,7.796316623687744,1.8033076524734497,5.94429366174154e-05,0.2570009231567383,0.014759393408894539
0,9.571019172668457,7.767789840698242,1.8315446376800537,0.00011606651969486848,0.3080003261566162,0.01604454033076763
0,9.594654083251953,7.741876125335693,1.8573721647262573,7.44708813726902e-05,0.3600001335144043,0.017053140327334404
0,9.615694046020508,7.718481063842773,1.8813461065292358,6.130446854513139e-05,0.41300010681152344,0.017947642132639885
0,9.634889602661133,7.697060585021973,1.903749942779541,4.1291204979643226e-05,0.4640016555786133,0.018666887655854225
0,9.652716636657715,7.677135467529297,1.9248046875,2.714659240155015e-05,0.5140011310577393,0.019244352355599403
0,9.678269386291504,7.684335708618164,1.9425182342529297,0.00014750567788723856,0.5650007724761963,0.017226506024599075
0,9.707218170166016,7.719255447387695,1.9596600532531738,0.00025769948842935264,0.6150002479553223,0.017657075077295303
0,9.73233413696289,7.747879981994629,1.9760915040969849,2.5257497782149585e-06,0.6660008430480957,0.01783083938062191
0,9.755786895751953,7.772281169891357,1.99158775806427,2.7084326575277373e-05,0.7180004119873047,0.017598174512386322
0,9.777106285095215,7.794297218322754,2.006486177444458,1.3344990179575689e-07,0.7700002193450928,0.017635559663176537
0,9.79680061340332,7.814529895782471,2.0208067893981934,9.307137815994793e-08,0.8210005760192871,0.01760425604879856
0,9.816472053527832,7.833438396453857,2.0342366695404053,5.8491179515840486e-05,0.8770015239715576,0.017053144052624702
0,9.835162162780762,7.8499603271484375,2.0472841262817383,7.810549504938535e-06,0.9300005435943604,0.01707596331834793
0,9.854092597961426,7.876562595367432,2.058051347732544,0.00017888985166791826,0.9810009002685547,0.014357853680849075
0,9.871841430664062,7.900145530700684,2.0684447288513184,6.82561585563235e-06,1.0340003967285156,0.014097909443080425
1,9.880414009094238,7.904560089111328,2.0669844150543213,0.0004473250883165747,5.847000598907471,0.0019718529656529427
1,9.888861656188965,7.909101963043213,2.06523060798645,1.3388693332672119e-05,5.898000478744507,0.0023575753439217806
1,9.897320747375488,7.912998676300049,2.063380241394043,5.7070396906055976e-06,5.949000597000122,0.0024766724091023207
1,9.90566349029541,7.916889667510986,2.0612902641296387,9.36760534386849e-06,5.999000310897827,0.0027856272645294666
1,9.91425609588623,7.920541286468506,2.0590555667877197,1.7237065549124964e-05,6.051000595092773,0.002966642612591386
1,9.926928520202637,7.930741310119629,2.056621789932251,0.00021299559739418328,6.105000972747803,0.003218668047338724
