Iteration,M2,M3,D2,D3,V2,V3,Pmech2,Pmech3,Loss,Time,Gradient Norm
1,19.25767899,12.98801422,10.38849545,11.0268774,2.182077408,2.661695719,-3.122458696,0.523115516,0.000611971,10.35023594,0.099504694
2,19.25767326,12.98792362,10.38869286,11.02690887,2.178339958,2.66018033,-3.122472048,0.523105383,0.000342039,10.49078178,0.015266199
2,19.25765038,12.9877615,10.38901234,11.02695942,2.171463013,2.657366514,-3.122497082,0.52308625,0.000268442,10.63167095,0.028624527
2,19.25761986,12.98754501,10.38941193,11.02702999,2.162240267,2.653529406,-3.122531176,0.523059964,0.000188497,10.77086997,0.039105203
2,19.25758743,12.98729801,10.38982868,11.02712536,2.151828051,2.649093628,-3.122570753,0.523029149,0.000107031,10.94302607,0.045678779
2,19.25754547,12.98702908,10.39026546,11.02726269,2.141267061,2.644470215,-3.122611761,0.522996724,7.25E-05,11.091084,0.047772594
2,19.25744629,12.98672199,10.39079475,11.02745152,2.131650448,2.640148401,-3.122648716,0.522967219,7.92E-05,11.23947096,0.043241862
2,19.2569828,12.98534679,10.39400387,11.02892876,2.124400616,2.636495829,-3.12267518,0.52294445,0.000654709,11.38254571,0.033227727
2,19.2550106,12.98374557,10.39615917,11.03278732,2.122689486,2.63425827,-3.122698545,0.522916377,0.00119051,11.5241158,0.040759005
2,19.25292397,12.98208618,10.39845562,11.03679371,2.124089956,2.633248568,-3.122711182,0.522895277,0.000249055,11.66503,0.03053306
2,19.25073242,12.98036957,10.40089893,11.04094696,2.12851882,2.633440018,-3.122713089,0.522880971,0.000239436,11.805269,0.020540498
2,19.2477684,12.97825813,10.40354347,11.04511166,2.136021852,2.635008574,-3.122695923,0.522881687,0.000280405,11.94480705,0.001030261
2,19.24473572,12.9761095,10.40626144,11.04937077,2.145195246,2.637296677,-3.122671366,0.522886992,0.000129598,12.08616805,0.007578146
2,19.24166298,12.97393322,10.40900517,11.05369568,2.155020952,2.639895201,-3.122643471,0.522894382,8.12E-05,12.22593498,0.010472692
2,19.23856926,12.97172546,10.4117794,11.05805969,2.164541245,2.642388821,-3.122615099,0.522901714,6.93E-05,12.36696887,0.010293076
2,19.23612595,12.96977329,10.4164362,11.06333542,2.173408747,2.644522429,-3.122577906,0.522917628,0.00030122,12.50714684,0.022349313
2,19.23358345,12.9676857,10.4213171,11.06864166,2.18016839,2.645646572,-3.122550011,0.522926092,0.000176708,12.64747,0.011805857
2,19.2308445,12.96534157,10.42674255,11.07402229,2.18413496,2.645388603,-3.122536182,0.522923172,0.000263371,12.78727794,0.004033267
2,19.22823715,12.96289825,10.43242359,11.07946587,2.184559345,2.643443584,-3.122532606,0.522913456,0.000340408,12.92772484,0.013385261
2,19.22596359,12.96009636,10.43878174,11.08514404,2.179798365,2.639021873,-3.122541428,0.522896707,0.000564933,13.06800389,0.023008233
2,19.22435379,12.95760441,10.4455862,11.09120655,2.17444253,2.634224176,-3.122547865,0.522882402,0.000176218,13.20863104,0.019567687
3,19.22453308,12.95777512,10.44596577,11.0913887,2.172840834,2.633512735,-3.122546673,0.522885084,0.000119561,13.34895611,0.003651619
3,19.22471046,12.95790768,10.44637966,11.09157848,2.169905186,2.632150173,-3.122549772,0.522884667,0.000107942,13.48814583,0.000543367
3,19.22488785,12.95801353,10.44680023,11.09177971,2.16602087,2.63030982,-3.122555733,0.522881925,8.63E-05,13.62924314,0.003673895
3,19.22505951,12.95809174,10.44724369,11.09199905,2.161469698,2.628123522,-3.122563124,0.52287817,7.63E-05,13.769835,0.005042072
3,19.22475433,12.95715237,10.44863701,11.09278679,2.154051781,2.624676228,-3.122562408,0.522885561,0.000316711,13.90927982,0.009844063
3,19.22442436,12.95618629,10.4500742,11.09362602,2.147246599,2.621463776,-3.12255764,0.522895694,7.28E-05,14.05039787,0.013434613
3,19.22393799,12.95502472,10.45232201,11.09471035,2.14207387,2.619021893,-3.122541428,0.522914767,0.000126805,14.19165993,0.02518891
3,19.22301674,12.95363331,10.45518017,11.09590626,2.138773441,2.617557526,-3.122509241,0.522947192,0.000131678,14.3325088,0.042582758
3,19.2219162,12.95213318,10.45831776,11.09719563,2.137760639,2.617176771,-3.12246418,0.522988975,0.000167664,14.47270393,0.05463865
3,19.22074127,12.95057583,10.46163464,11.09862804,2.139095068,2.617857218,-3.122408628,0.523037732,0.000182359,14.613446,0.063444376
3,19.21952248,12.94899464,10.46491432,11.10017967,2.142487288,2.619452477,-3.122344971,0.523091555,0.000152911,14.75393772,0.069668069
3,19.21820641,12.94738388,10.46818447,11.10182476,2.147628307,2.621839046,-3.122273207,0.523150682,0.000133754,14.8945539,0.076157533
3,19.21683502,12.9457407,10.47151089,11.10355091,2.153951645,2.624765873,-3.122195244,0.523213744,9.56E-05,15.03549099,0.080835946
3,19.21543121,12.94406986,10.47487259,11.10534096,2.160749435,2.627900124,-3.12211442,0.523278534,7.06E-05,15.17525291,0.082625158
3,19.21394539,12.94229507,10.47831059,11.10721111,2.167093515,2.630752563,-3.122037649,0.523339212,7.56E-05,15.31601405,0.077019706
3,19.21245003,12.94048405,10.48178387,11.10912132,2.172561407,2.633135557,-3.121964455,0.52339673,8.38E-05,15.45611596,0.072635494
3,19.21096802,12.93864346,10.48527527,11.1110611,2.176736593,2.634832859,-3.121897221,0.523449481,0.000104666,15.59712982,0.066301234
