Iteration,M2,D2,V2,B,G,Pmech2,Loss,Time,Gradient Norm
0,10.84988689,9.049711227,1.839465499,-0.529763401,-0.008059844,0.442903429,0.005502,0.076291084,0.192734569
0,10.88704395,9.088643074,1.883916378,-0.534357369,-0.012004475,0.446826398,0.000562061,0.147476912,0.242676169
0,10.84065151,9.131531715,1.907743692,-0.538207173,-0.014306122,0.449135125,0.00101215,0.218866825,0.160203025
0,10.80639362,9.171875,1.884226203,-0.540801108,-0.014340297,0.449275702,0.003315067,0.291542053,0.009708643
0,10.77298355,9.208517075,1.844284296,-0.542675912,-0.012368168,0.447439313,0.003101079,0.364114046,0.135687247
0,10.75508976,9.235884666,1.808572054,-0.544473708,-0.009765116,0.444907725,0.001038883,0.436187983,0.215824813
0,10.73618603,9.260559082,1.780632019,-0.546681583,-0.007462595,0.442639738,0.00010849,0.506986856,0.215865999
0,10.70840454,9.284482002,1.765934825,-0.55024749,-0.006060726,0.44127202,0.001445055,0.578799009,0.134664416
0,10.69239807,9.301906586,1.757929683,-0.553451836,-0.005703224,0.441000849,0.001883324,0.649906158,0.026604779
0,10.67874908,9.320883751,1.757578135,-0.556493223,-0.006508801,0.441940188,0.00226103,0.720997095,0.093357623
0,10.66668892,9.334030151,1.761844397,-0.559185505,-0.008081055,0.443665534,0.001216045,0.792026997,0.181783482
0,10.65585041,9.347216606,1.771023631,-0.56175077,-0.00999489,0.445701212,0.000516259,0.863937855,0.233644649
0,10.64312363,9.36076355,1.780926228,-0.564128518,-0.011761495,0.447555542,6.75E-05,0.934874058,0.228025794
0,10.62477875,9.370210648,1.790279269,-0.566453278,-0.013167957,0.449014932,0.00045512,1.005794048,0.186688021
0,10.6067915,9.382172585,1.791326761,-0.568540335,-0.01381672,0.449703217,0.001431951,1.093711138,0.088450134
0,10.56106091,9.369645119,1.798730969,-0.571253538,-0.013775171,0.449664503,0.001857694,1.169672966,0.00495059
0,10.52329731,9.349352837,1.799834251,-0.573668778,-0.013110366,0.448986709,0.001190301,1.242753029,0.087036364
0,10.4917469,9.332093239,1.792700171,-0.575819969,-0.01176378,0.447625965,0.00128678,1.317053795,0.180675864
0,10.46481705,9.316576958,1.781429291,-0.577798665,-0.010072693,0.445917636,0.000532143,1.390505791,0.240143552
0,10.44095898,9.30189991,1.770557165,-0.579675853,-0.00841042,0.444233954,5.15E-05,1.46569109,0.250095367
1,10.44099522,9.302124023,1.774168372,-0.57975018,-0.008685599,0.444503099,0.000283956,3.654482126,0.039836176
1,10.44103813,9.302547455,1.780392647,-0.579874575,-0.009168386,0.444974661,0.00016323,3.729920864,0.069757715
1,10.44104385,9.303087234,1.78858161,-0.580052495,-0.009766633,0.445554763,7.94E-05,3.806904078,0.085962892
1,10.44087601,9.303308487,1.798135042,-0.580286622,-0.010405905,0.446169674,4.37E-05,3.880477905,0.091359071
1,10.44303513,9.300757408,1.809728742,-0.58062911,-0.01106082,0.446788251,0.000229469,3.95501399,0.092149206
1,10.45687675,9.301359177,1.815086246,-0.580899239,-0.011193675,0.446893841,0.001148189,4.029062986,0.015655614
1,10.47030163,9.302530289,1.817227721,-0.581158817,-0.01100066,0.446674168,0.000344883,4.101644993,0.032438725
1,10.48594284,9.297568321,1.816682696,-0.58132869,-0.010702432,0.446356893,0.000173628,4.174443007,0.046709433
1,10.51460552,9.269938469,1.810592055,-0.58135879,-0.010081613,0.445689529,0.001114782,4.245684862,0.09863659
1,10.53953362,9.245778084,1.804037809,-0.581405163,-0.009369336,0.444928706,4.50E-05,4.317270994,0.113204896
1,10.57125378,9.212875366,1.792698503,-0.581299186,-0.008397868,0.443899363,0.001000984,4.389292955,0.155725494
1,10.59814644,9.185354233,1.784474969,-0.581260264,-0.007685568,0.443122238,0.000239886,4.461123943,0.11841923
1,10.62196064,9.161271095,1.780355334,-0.581306279,-0.007368885,0.442731529,0.000551539,4.534481049,0.059417814
1,10.64361858,9.139667511,1.780896544,-0.581449389,-0.007520204,0.442799181,0.000754214,4.607091904,0.010239854
1,10.66362,9.119884491,1.785872579,-0.581684709,-0.008107677,0.443294883,0.000659146,4.68010807,0.075010523
1,10.68231487,9.101441383,1.792992949,-0.581940591,-0.008956419,0.44404918,0.000256468,4.750974894,0.114884607
1,10.69990253,9.084089279,1.802170038,-0.582253218,-0.00994488,0.444940686,0.000106356,4.824012041,0.137299925
1,10.71655846,9.067651749,1.811396122,-0.582595289,-0.010879648,0.445777535,2.92E-05,4.895530939,0.130068675
1,10.73242474,9.05205822,1.818550467,-0.582938612,-0.011584491,0.446384132,0.000194501,4.96657896,0.094508991
1,10.74768257,9.037211418,1.821799874,-0.583262861,-0.011916832,0.44661811,0.000499802,5.039098978,0.0363121
2,10.74768639,9.037427902,1.817033291,-0.583230972,-0.011486518,0.446189165,0.000646437,5.116882801,0.066481084
2,10.74765778,9.037757874,1.808854461,-0.583181262,-0.010725752,0.44542855,0.000402959,5.201195002,0.118671477
2,10.74767208,9.038155556,1.799116015,-0.583135188,-0.009778522,0.444477797,0.000159002,5.278625011,0.150336251
2,10.74900818,9.035006523,1.791576982,-0.5832358,-0.008807114,0.443486184,0.000337107,5.353282928,0.159172595
2,10.75037193,9.03180027,1.786224604,-0.583383799,-0.008030687,0.44268778,0.000145393,5.435933828,0.129174471
2,10.75182247,9.028505325,1.782317162,-0.583517969,-0.00750302,0.442138582,0.00024789,5.509789944,0.08894781
2,10.75340843,9.025572777,1.784092903,-0.583818614,-0.007430946,0.442040682,0.00085909,5.584506035,0.015777729
2,10.75504208,9.022881508,1.790488839,-0.58423239,-0.007796593,0.442376792,0.000761939,5.657343864,0.054026797
2,10.75671864,9.020290375,1.800515652,-0.584730506,-0.00852183,0.443069041,0.000520927,5.730023146,0.111787044
2,10.7584219,9.017763138,1.813077331,-0.585303009,-0.009469502,0.4439798,0.000230892,5.804121971,0.148824945
2,10.76069832,9.01391983,1.826077938,-0.58586812,-0.010520474,0.445000947,0.000101975,5.878002882,0.16960451
2,10.76297092,9.010070801,1.837570429,-0.586433947,-0.011409704,0.445860118,0.000101938,5.950721025,0.144127622
2,10.76538467,9.006297112,1.84552598,-0.586972892,-0.011953485,0.446377873,0.000479513,6.023138046,0.086886697
