Iteration,M2,D2,Loss
0,11.400002479553223,9.5,4.667584027617799e-12
0,11.400009155273438,9.500000953674316,1.2440246315720271e-12
0,11.418266296386719,9.501501083374023,2.996150669787312e-07
0,11.44888973236084,9.504375457763672,8.663427614186148e-11
0,11.488980293273926,9.508522987365723,2.868482361362279e-11
1,11.527068138122559,9.512462615966797,1.6363355169555366e-13
1,11.563254356384277,9.516205787658691,7.997627083158876e-13
1,11.597655296325684,9.519752502441406,4.1116063331791963e-10
1,11.630361557006836,9.523112297058105,1.9529231865960143e-15
1,11.661489486694336,9.526530265808105,8.442891386017948e-10
2,11.691075325012207,9.529732704162598,1.0322944582474847e-10
2,11.719343185424805,9.533167839050293,2.5946220727490754e-09
2,11.746359825134277,9.536823272705078,2.18360941307838e-12
2,11.772188186645508,9.540688514709473,2.7857661381684717e-13
2,11.796889305114746,9.544751167297363,1.393044859153425e-12
3,11.820602416992188,9.547926902770996,1.3118852670856995e-09
3,11.843411445617676,9.550162315368652,1.4045764551440243e-10
3,11.865527153015137,9.551169395446777,6.938861707439514e-10
3,11.887358665466309,9.550522804260254,1.5195579239346557e-09
3,11.908924102783203,9.548334121704102,4.295050812675328e-15
4,11.929415702819824,9.54625415802002,5.207932524765651e-15
4,11.948887825012207,9.544278144836426,9.978068447446392e-15
4,11.967391014099121,9.542400360107422,1.1051371677592986e-13
4,11.984955787658691,9.540658950805664,3.232308518064109e-11
4,12.001627922058105,9.539052963256836,6.901901793143761e-12
5,12.017521858215332,9.537555694580078,3.683060800785398e-11
5,12.032676696777344,9.536162376403809,3.2047466148378036e-15
5,12.0470609664917,9.534860610961914,8.477735874423686e-11
5,12.060680389404297,9.533803939819336,2.9127023015718123e-10
5,12.073572158813477,9.532981872558594,2.1425298601246423e-14
6,12.085814476013184,9.532219886779785,5.469939085012143e-11
6,12.097440719604492,9.531515121459961,1.1758801059052158e-14
6,12.108476638793945,9.530855178833008,2.9088320294134995e-12
6,12.118951797485352,9.530238151550293,4.52243528270644e-14
6,12.128401756286621,9.529094696044922,1.6228003385521106e-09
7,12.137383460998535,9.528008460998535,1.90218256727534e-14
7,12.145919799804688,9.526975631713867,3.1009977842933606e-14
7,12.154027938842773,9.525995254516602,2.8059889481402145e-11
7,12.16172981262207,9.525063514709473,2.046112777365043e-14
7,12.168661117553711,9.523903846740723,2.11841966191173e-09
8,12.17524528503418,9.522793769836426,1.3190500774973302e-11
8,12.181483268737793,9.521748542785645,1.4177989338115538e-10
8,12.187305450439453,9.520947456359863,8.880333135508067e-10
8,12.192730903625488,9.520378112792969,1.1124168399585452e-13
8,12.196381568908691,9.523606300354004,1.632312951471704e-08
9,12.199851036071777,9.526674270629883,9.085132819663944e-13
9,12.203147888183594,9.529608726501465,3.653227026445549e-11
9,12.206279754638672,9.532419204711914,5.106833792650756e-12
9,12.209256172180176,9.535116195678711,3.107163398102797e-12
9,12.212084770202637,9.537705421447754,2.441524401340764e-15
10,12.214773178100586,9.540165901184082,1.6503800008473707e-13
10,12.217305183410645,9.542688369750977,4.694152289097531e-10
10,12.219687461853027,9.545270919799805,1.6139271993495519e-12
10,12.221927642822266,9.547908782958984,6.561153963885458e-12
10,12.224031448364258,9.550600051879883,1.7497119357367088e-15
11,12.226021766662598,9.553162574768066,8.299856635307634e-11
