Iteration,M2,D2,V2,Loss,Time,Gradient Norm
0,9.550084114074707,8.04922103881836,1.64063560962677,0.0005873767659068108,0.07274889945983887,0.0033263289369642735
0,9.509505271911621,8.093438148498535,1.6836403608322144,0.0003700369270518422,0.14008188247680664,0.005580490920692682
0,9.539229393005371,8.13846206665039,1.7154282331466675,0.0001676868268987164,0.2065410614013672,0.005317195784300566
0,9.585124015808105,8.162640571594238,1.747514247894287,0.000483213720144704,0.27246999740600586,0.006962970364838839
0,9.618335723876953,8.187206268310547,1.7783143520355225,0.000173872263985686,0.3381309509277344,0.00844236183911562
0,9.645315170288086,8.211088180541992,1.8072997331619263,0.0001264330931007862,0.40415000915527344,0.009701628237962723
0,9.668718338012695,8.234128952026367,1.8344115018844604,9.384013537783176e-05,0.47063493728637695,0.010745955631136894
0,9.689520835876465,8.25576400756836,1.8598476648330688,6.642168591497466e-05,0.5371358394622803,0.01165168546140194
0,9.73759651184082,8.290489196777344,1.8715487718582153,0.0017473538173362613,0.6031198501586914,0.005485476925969124
0,9.77234172821045,8.31959056854248,1.8841403722763062,3.7352056097006425e-05,0.670292854309082,0.0060689132660627365
0,9.80863094329834,8.352293014526367,1.8905601501464844,0.001008360181003809,0.7359747886657715,0.003104392671957612
0,9.839588165283203,8.379392623901367,1.8968223333358765,0.00027825156576000154,0.8016328811645508,0.0030369230080395937
0,9.866100311279297,8.403714179992676,1.9038894176483154,4.063394226250239e-05,0.8689918518066406,0.003444686997681856
0,9.890741348266602,8.425732612609863,1.9086909294128418,0.000171832405612804,0.9353718757629395,0.0023394746240228415
0,9.91294002532959,8.446114540100098,1.914353370666504,2.0027044229209423e-05,1.0030467510223389,0.002762886695563793
0,9.933456420898438,8.46556282043457,1.9201520681381226,3.3609961974434555e-05,1.0724599361419678,0.0028342893347144127
0,9.952512741088867,8.483797073364258,1.9267019033432007,1.2584599062392954e-05,1.139901876449585,0.0032131141051650047
0,9.970393180847168,8.501031875610352,1.9339061975479126,1.033189801091794e-05,1.2085890769958496,0.0035535236820578575
0,9.987309455871582,8.517422676086426,1.9417188167572021,1.129445809056051e-05,1.2755708694458008,0.0038819527253508568
0,10.00340461730957,8.533075332641602,1.9499887228012085,6.289860266406322e-06,1.3413498401641846,0.004145673010498285
1,10.003402709960938,8.533084869384766,1.95041024684906,3.987890522694215e-06,3.880190849304199,0.0002102739963447675
1,10.00342845916748,8.533204078674316,1.951075553894043,8.403051651839633e-06,3.9495139122009277,0.00033021229319274426
1,10.003477096557617,8.533369064331055,1.9519524574279785,6.660312010353664e-06,4.018182754516602,0.0004331424133852124
1,10.004834175109863,8.535920143127441,1.9496012926101685,0.0002508730685804039,4.084078788757324,0.0011567733017727733
1,10.006196022033691,8.538493156433105,1.9476747512817383,4.136823463340988e-06,4.150552034378052,0.0009437788976356387
1,10.007562637329102,8.541096687316895,1.9461888074874878,4.4969210648559965e-06,4.217528820037842,0.0007246477180160582
1,10.008938789367676,8.543726921081543,1.9452177286148071,6.7648202275449876e-06,4.283219814300537,0.00047125600394792855
1,10.010323524475098,8.546360969543457,1.9447200298309326,5.7679485507833306e-06,4.347905874252319,0.0002403442922513932
1,10.011724472045898,8.549041748046875,1.9445728063583374,5.962091563560534e-06,4.413265943527222,7.076587644405663e-05
1,10.013143539428711,8.551717758178711,1.9448323249816895,6.865183877380332e-06,4.480957984924316,0.0001240718993358314
1,10.014566421508789,8.554428100585938,1.9455811977386475,5.054002485849196e-06,4.552091836929321,0.00035625623422674835
1,10.01599407196045,8.557167053222656,1.946824073791504,4.936788172926754e-06,4.627097845077515,0.0005885125137865543
1,10.017962455749512,8.560030937194824,1.9479871988296509,0.00011529514449648559,4.699054718017578,0.0005480965483002365
1,10.02007007598877,8.563005447387695,1.9494298696517944,3.0308050554594956e-05,4.769882678985596,0.0006767506129108369
1,10.02241325378418,8.565975189208984,1.9504470825195312,4.3500207539182156e-05,4.837073802947998,0.00047486211406067014
1,10.025671005249023,8.5691499710083,1.9506807327270508,0.00018544355407357216,4.914114713668823,0.00010852131526917219
1,10.028952598571777,8.572369575500488,1.9514275789260864,8.420794074481819e-06,4.979948043823242,0.00034521857742220163
1,10.032283782958984,8.575740814208984,1.952510952949524,1.1435779924795497e-05,5.0457069873809814,0.0004983335384167731
1,10.03621768951416,8.579377174377441,1.9534680843353271,0.00012894377869088203,5.110437870025635,0.0004381510952953249
1,10.04015827178955,8.583029747009277,1.954847812652588,3.2767864013294457e-06,5.176811933517456,0.0006287057185545564
2,10.041089057922363,8.583965301513672,1.9534870386123657,0.00017333283904008567,5.249596834182739,0.0006171466084197164
2,10.047513008117676,8.587196350097656,1.9371776580810547,0.0009672547457739711,5.326473951339722,0.007785827852785587
2,10.053986549377441,8.590665817260742,1.9219890832901,2.1577036022790708e-05,5.3961968421936035,0.007572222501039505
2,10.06043529510498,8.59421157836914,1.9080256223678589,1.2109283488825895e-05,5.466203927993774,0.0072135524824261665
2,10.066858291625977,8.597857475280762,1.8952913284301758,1.8418209947412834e-05,5.5324108600616455,0.006768809165805578
2,10.073248863220215,8.601577758789062,1.883815884590149,2.4070024664979428e-05,5.597392797470093,0.006235557142645121
2,10.080769538879395,8.607809066772461,1.870696783065796,0.00018362970149610192,5.662623882293701,0.007350485306233168
2,10.088231086730957,8.613987922668457,1.8591930866241455,4.4048480049241334e-05,5.727193832397461,0.0065898890607059
2,10.095626831054688,8.62021255493164,1.849278211593628,5.135823448654264e-05,5.791750907897949,0.005765732377767563
